scheduler_policy,queue_depth,tenant_count,hub_capacity,link_capacity,communication_qubits_per_module,priority_profile,decision_interval_ns,lookahead_window_ns,preemption_allowed,epr_prefetch_enabled,trial_count,mean_remote_latency_ns,p95_remote_latency_ns,p99_remote_latency_ns,mean_queue_delay_ns,p95_queue_delay_ns,mean_positive_delay_fraction,mean_negative_speedup_fraction,mean_failure_transition_fraction,mean_observable_change_fraction,mean_signed_attacker_change_ns,mean_absolute_attacker_change_ns,mean_victim_slowdown_ratio_successful_only,victim_success_probability,tenant_success_fairness,tenant_wait_fairness,hub_utilization,link_utilization,communication_qubit_utilization,scheduler_reordering_rate,deadline_miss_fraction,mean_phase_boundary_visibility,mean_preemption_count,mean_epr_expiration_fraction,mean_queue_occupancy,mean_maximum_queue_occupancy,request_rejection_fraction
randomized_arbitration,8,4,2,1,1,equal,20,500,False,False,15,227.79899421139436,728.6066666666661,1081.613333333333,112.33001059615911,614.6066666666661,0.025,0.0027777777777777775,0.3097222222222222,0.3375,1.8333333333333333,2.111111111111111,,0.0,0.7868024446481467,0.6302960677570402,0.21764823821464674,0.13450607109254387,0.17411859057171739,0.00583612122047139,0.3877258310949013,0.5462157809983897,0.0,0.0,0.39705274552489833,8.0,0.4249775381850854
randomized_arbitration,8,4,2,1,2,equal,20,500,False,False,15,215.6954057150969,675.1866666666663,1012.5266666666663,100.62491455319365,559.7866666666663,0.0027777777777777775,0.0027777777777777775,0.24444444444444446,0.25,-0.08333333333333333,0.19444444444444445,,0.0,0.7776630299836474,0.6372079267820195,0.22365198880092463,0.13591442818067292,0.08946079552036985,0.006106661635032301,0.3780402301683136,0.263768115942029,0.0,0.0,0.37665175126791073,8.0,0.4110512129380054
randomized_arbitration,8,4,2,1,4,equal,20,500,False,False,15,225.00225048845778,673.9533333333326,994.6666666666662,109.28373412478565,560.0866666666659,0.0027777777777777775,0.0,0.375,0.3777777777777778,16.0,16.0,,0.0,0.7823107234678732,0.6393186591031627,0.21377262198079938,0.13445538769105828,0.04275452439615988,0.006446068712338915,0.3849764793502934,0.33043478260869563,0.0,0.0,0.3750402402177559,8.0,0.4335130278526505
randomized_arbitration,8,4,2,1,8,equal,20,500,False,False,15,222.1317777443165,682.1333333333326,999.673333333333,106.84095366716016,567.6666666666658,0.0027777777777777775,0.006944444444444445,0.3097222222222222,0.3194444444444445,7.666666666666667,8.555555555555555,,0.0,0.7646125791102865,0.6704623046761365,0.21662616023956954,0.13313683140199284,0.021662616023956957,0.006926430047390537,0.3925837289950193,0.32822636300897173,0.0,0.0,0.3727160070547279,8.0,0.4308176100628931
randomized_arbitration,32,4,2,1,1,equal,20,500,False,False,15,919.0583285515888,3220.433333333333,3768.8933333333334,804.2679148933329,3107.066666666666,0.12361111111111112,0.004166666666666667,0.3152777777777778,0.44305555555555554,60.1,60.766666666666666,1.1288542642751025,0.4,0.8863515513754209,0.6562799941848453,0.2916716171365787,0.17342038637956034,0.23333729370926296,0.04041352818591782,0.40341242870559757,0.680048632218845,0.0,0.0,3.9727186867861604,26.266666666666666,0.23809523809523808
randomized_arbitration,32,4,2,1,2,equal,20,500,False,False,15,737.3206937891482,2654.283333333333,3046.6066666666666,622.8483154126637,2542.1833333333325,0.00972222222222222,0.0,0.2513888888888889,0.2611111111111111,4.638888888888888,4.638888888888888,1.0,0.4,0.8902524044518069,0.6043676320866198,0.2960187459268994,0.17322411355025472,0.11840749837075978,0.03784475656536433,0.3419806112083152,0.19307291080340724,0.0,0.0,3.1424235590578293,24.4,0.21473495058400718
randomized_arbitration,32,4,2,1,4,equal,20,500,False,False,15,766.3544341958884,2627.216666666666,3032.7300000000005,651.7462097643919,2515.266666666666,0.006944444444444444,0.008333333333333333,0.3111111111111111,0.32638888888888895,-0.05555555555555554,0.8888888888888888,1.0,0.4,0.8752659377718238,0.5924121085372829,0.2892348106544958,0.1707514274196558,0.05784696213089916,0.037774702428988,0.35846666926790266,0.22951590043788625,0.0,0.0,3.1415004847228203,24.333333333333332,0.23225516621743036
randomized_arbitration,32,4,2,1,8,equal,20,500,False,False,15,694.1157893509449,2710.1166666666663,3226.0533333333337,579.799346965374,2596.183333333333,0.008333333333333333,0.0,0.1277777777777778,0.1361111111111111,8.5,8.5,1.0004460303300624,0.4,0.9316215012788582,0.5989744782481969,0.3134015185318552,0.18165027064263006,0.03134015185318552,0.03657748309251501,0.30004668807894613,0.20656685053848176,0.0,0.0,3.1377586829851807,24.4,0.1720575022461815
randomized_arbitration,128,4,2,1,1,equal,20,500,False,False,15,1633.8060991645923,5671.449999999999,6316.156666666667,1519.7380045015075,5558.649999999999,0.275,0.0125,0.0,0.2875,56.97222222222222,58.25,1.079717824089692,1.0,1.0,0.6521290734905664,0.3798090028500473,0.21445268747197585,0.30384720228003786,0.07606976674221094,0.31086304424017897,0.6794709603220241,0.0,0.0,12.323281975064496,43.266666666666666,0.0
randomized_arbitration,128,4,2,1,2,equal,20,500,False,False,15,1190.0293201608113,4165.716666666666,4684.98,1075.961225497726,4051.8833333333328,0.03333333333333333,0.0013888888888888887,0.0,0.034722222222222224,2.5833333333333335,2.6388888888888884,1.0118149007553634,1.0,1.0,0.6042135524405235,0.3750259410169205,0.21174081155737964,0.15001037640676823,0.05587587658660774,0.2656627538600973,0.12108317214700194,0.0,0.0,8.453580760887727,38.86666666666667,0.0
