attacker_request_id,probe_id,window_name,observation_duration_ns,round_start_time_ns,request_release_time_ns,actual_arrival_time_ns,service_start_time_ns,victim_on_completion_time_ns,service_time_ns,victim_on_waiting_time_ns,victim_on_turnaround_time_ns,source_module,target_modules,architecture_request_id,baseline_waiting_time_ns,baseline_turnaround_time_ns,baseline_completion_time_ns,excess_waiting_time_ns,excess_turnaround_time_ns,victim_contention_observed
69,69,window_40us_extended,40000,29980,30010,30010,30010,30120,110,0,110,module_3,module_4,85,0,110,30120,0,0,False
70,70,window_40us_extended,40000,30400,30430,30430,30430,30540,110,0,110,module_3,module_4,86,0,110,30540,0,0,False
71,71,window_40us_extended,40000,30820,30850,30850,30850,30960,110,0,110,module_3,module_4,87,0,110,30960,0,0,False
72,72,window_40us_extended,40000,31240,31270,31270,31270,31380,110,0,110,module_3,module_4,88,0,110,31380,0,0,False
73,73,window_40us_extended,40000,31660,31690,31690,31690,31800,110,0,110,module_3,module_4,89,0,110,31800,0,0,False
74,74,window_40us_extended,40000,32080,32110,32110,32110,32220,110,0,110,module_3,module_4,90,0,110,32220,0,0,False
75,75,window_40us_extended,40000,32500,32530,32530,32530,32640,110,0,110,module_3,module_4,91,0,110,32640,0,0,False
76,76,window_40us_extended,40000,32920,32950,32950,32950,33060,110,0,110,module_3,module_4,92,0,110,33060,0,0,False
77,77,window_40us_extended,40000,33340,33370,33370,33370,33480,110,0,110,module_3,module_4,93,0,110,33480,0,0,False
78,78,window_40us_extended,40000,33760,33790,33790,33790,33900,110,0,110,module_3,module_4,94,0,110,33900,0,0,False
79,79,window_40us_extended,40000,34180,34210,34210,34210,34320,110,0,110,module_3,module_4,95,0,110,34320,0,0,False
80,80,window_40us_extended,40000,34600,34630,34630,34630,34740,110,0,110,module_3,module_4,96,0,110,34740,0,0,False
81,81,window_40us_extended,40000,35020,35050,35050,35050,35160,110,0,110,module_3,module_4,97,0,110,35160,0,0,False
82,82,window_40us_extended,40000,35440,35470,35470,35470,35580,110,0,110,module_3,module_4,98,0,110,35580,0,0,False
83,83,window_40us_extended,40000,35860,35890,35890,35890,36000,110,0,110,module_3,module_4,99,0,110,36000,0,0,False
