trace_id,protocol_context,probe_index,probe_region,release_ns,attacker_only_success,combined_success,attacker_only_completion_ns,combined_completion_ns,attacker_only_turnaround_ns,combined_turnaround_ns,excess_turnaround_ns,delayed,speedup,failure_transition
2df512c96102e8c252c2,direct_coherent_all_shared_local_route,12,module_2,5070.0,True,True,5220.0,5220.0,150.0,150.0,0.0,False,False,False
2df512c96102e8c252c2,direct_coherent_all_shared_local_route,13,module_1,5490.0,True,True,5640.0,5640.0,150.0,150.0,0.0,False,False,False
2df512c96102e8c252c2,direct_coherent_all_shared_local_route,14,module_3,5910.0,True,True,6060.0,6060.0,150.0,150.0,0.0,False,False,False
2df512c96102e8c252c2,direct_coherent_all_shared_local_route,15,module_4,6330.0,True,True,6480.0,6690.045831376997,150.0,360.04583137699683,210.04583137699683,True,False,False
2df512c96102e8c252c2,direct_coherent_all_shared_local_route,16,module_4,6750.0,True,True,6900.0,6960.045831376997,150.0,210.04583137699683,60.04583137699683,True,False,False
2df512c96102e8c252c2,direct_coherent_all_shared_local_route,17,module_2,7170.0,True,True,7320.0,7320.0,150.0,150.0,0.0,False,False,False
2df512c96102e8c252c2,direct_coherent_all_shared_local_route,18,module_3,7590.0,True,True,7740.0,7740.0,150.0,150.0,0.0,False,False,False
2df512c96102e8c252c2,direct_coherent_all_shared_local_route,19,module_1,8010.0,True,True,8160.0,8160.0,150.0,150.0,0.0,False,False,False
2df512c96102e8c252c2,direct_coherent_all_shared_local_route,20,module_4,8430.0,True,True,8580.0,8646.848489601069,150.0,216.84848960106865,66.84848960106865,True,False,False
2df512c96102e8c252c2,direct_coherent_all_shared_local_route,21,module_3,8850.0,True,True,9000.0,9000.0,150.0,150.0,0.0,False,False,False
2df512c96102e8c252c2,direct_coherent_all_shared_local_route,22,module_2,9270.0,True,True,9420.0,9420.0,150.0,150.0,0.0,False,False,False
2df512c96102e8c252c2,direct_coherent_all_shared_local_route,23,module_1,9690.0,True,True,9840.0,9840.0,150.0,150.0,0.0,False,False,False
2df512c96102e8c252c2,direct_coherent_all_shared_local_route,24,module_2,10110.0,True,True,10260.0,10260.0,150.0,150.0,0.0,False,False,False
2df512c96102e8c252c2,direct_coherent_all_shared_local_route,25,module_1,10530.0,True,True,10680.0,10680.0,150.0,150.0,0.0,False,False,False
2df512c96102e8c252c2,direct_coherent_all_shared_local_route,26,module_3,10950.0,True,True,11100.0,11100.0,150.0,150.0,0.0,False,False,False
2df512c96102e8c252c2,direct_coherent_all_shared_local_route,27,module_4,11370.0,True,True,11520.0,11573.395408156004,150.0,203.39540815600412,53.39540815600412,True,False,False
2df512c96102e8c252c2,direct_coherent_all_shared_local_route,28,module_3,11790.0,True,True,11940.0,11940.0,150.0,150.0,0.0,False,False,False
2df512c96102e8c252c2,direct_coherent_all_shared_local_route,29,module_2,12210.0,True,True,12360.0,12360.0,150.0,150.0,0.0,False,False,False
2df512c96102e8c252c2,direct_coherent_all_shared_local_route,30,module_4,12630.0,True,True,12780.0,12780.0,150.0,150.0,0.0,False,False,False
2df512c96102e8c252c2,direct_coherent_all_shared_local_route,31,module_1,13050.0,True,True,13200.0,13200.0,150.0,150.0,0.0,False,False,False
2df512c96102e8c252c2,direct_coherent_all_shared_local_route,32,module_4,13470.0,True,True,13620.0,13620.0,150.0,150.0,0.0,False,False,False
2df512c96102e8c252c2,direct_coherent_all_shared_local_route,33,module_2,13890.0,True,True,14040.0,14040.0,150.0,150.0,0.0,False,False,False
