allocation_policy,communication_qubits_per_module,tenants_sharing_module,trial_count,attacker_baseline_rejection_rate,attacker_combined_rejection_rate,victim_combined_rejection_rate,mean_request_failure_rate,mean_conflict_count,mean_redirected_endpoints
first_available,2,4,330,0.0,0.0,0.0,0.06041756801360907,10255.078787878789,0.0
first_available,2,8,15,0.0,0.0,0.0,0.08721373658407626,32033.533333333333,0.0
first_available,4,2,15,0.0,0.0,0.0,0.0,2541.6,0.0
first_available,4,3,15,0.0,0.0,0.0,0.0,2736.3333333333335,0.0
first_available,4,4,15,0.0,0.0,0.0,0.0,3335.6,0.0
first_available,4,8,15,0.0,0.0,0.0,0.0,7064.6,0.0
first_available,8,2,15,0.0,0.0,0.0,0.0,213.8,0.0
first_available,8,3,15,0.0,0.0,0.0,0.0,312.8,0.0
first_available,8,4,15,0.0,0.0,0.0,0.0,477.06666666666666,0.0
first_available,8,8,15,0.0,0.0,0.0,0.0,955.4,0.0
per_tenant_reserved,1,2,15,0.0,1.0,0.0,0.5433742893819916,7398.8,0.0
per_tenant_reserved,1,3,15,0.0,1.0,0.0,0.6146220165298686,7874.8,0.0
per_tenant_reserved,1,4,15,0.0,1.0,0.0,0.6657506099213879,8370.133333333333,0.0
per_tenant_reserved,1,8,15,0.0,1.0,0.0,0.7800327151445626,10103.0,0.0
per_tenant_reserved,2,2,15,0.0,0.0,0.0,0.04634146341463415,8528.8,0.0
per_tenant_reserved,2,3,15,0.0,0.0,0.0,0.20992719156249331,8922.866666666667,0.0
per_tenant_reserved,2,4,330,0.0,0.0,0.0,0.32988773441928093,9862.987878787879,0.0
per_tenant_reserved,2,8,15,0.0,0.0,0.0,0.5648121003547681,11199.066666666668,0.0
per_tenant_reserved,4,2,15,0.0,0.0,0.0,0.04634146341463415,8528.8,0.0
per_tenant_reserved,4,3,15,0.0,0.0,0.0,0.041304347826086954,9385.666666666666,0.0
per_tenant_reserved,4,4,15,0.0,0.0,0.0,0.03725490196078431,10440.333333333334,0.0
per_tenant_reserved,4,8,15,0.0,0.0,0.0,0.38546158802993935,12485.4,0.0
per_tenant_reserved,8,2,15,0.0,0.0,0.0,0.04634146341463415,8528.8,0.0
per_tenant_reserved,8,3,15,0.0,0.0,0.0,0.041304347826086954,9638.133333333333,0.0
per_tenant_reserved,8,4,15,0.0,0.0,0.0,0.03725490196078431,10333.2,0.0
per_tenant_reserved,8,8,15,0.0,0.0,0.0,0.02676056338028169,15029.266666666666,0.0
predicted_demand,1,2,15,0.0,0.0,0.0,0.27701265358518246,9284.8,0.0
predicted_demand,1,3,15,0.0,0.0,0.0,0.31446280898422363,11801.4,0.0
predicted_demand,1,4,15,0.0,0.0,0.0,0.35407142104153494,15438.466666666667,0.0
predicted_demand,1,8,15,0.0,0.0,0.0,0.48611174251812195,35584.46666666667,0.0
predicted_demand,2,2,15,0.0,0.0,0.0,0.0,6157.2,0.0
predicted_demand,2,3,15,0.0,0.0,0.0,0.0007246376811594203,7374.6,0.0
predicted_demand,2,4,330,0.0,0.0,0.0,0.06834104882955581,10038.41212121212,0.0
predicted_demand,2,8,15,0.0,0.0,0.0,0.10091070724666416,28319.666666666668,0.0
predicted_demand,4,2,15,0.0,0.0,0.0,0.0,2489.0,0.0
predicted_demand,4,3,15,0.0,0.0,0.0,0.0,2908.0666666666666,0.0
predicted_demand,4,4,15,0.0,0.0,0.0,0.0,3407.133333333333,0.0
predicted_demand,4,8,15,0.0,0.0,0.0,0.0,7093.066666666667,0.0
predicted_demand,8,2,15,0.0,0.0,0.0,0.0,212.6,0.0
predicted_demand,8,3,15,0.0,0.0,0.0,0.0,224.0,0.0
predicted_demand,8,4,15,0.0,0.0,0.0,0.0,429.46666666666664,0.0
predicted_demand,8,8,15,0.0,0.0,0.0,0.0,785.4,0.0
priority_allocation,1,2,15,0.0,0.0,0.0,0.27701265358518246,9284.8,0.0
priority_allocation,1,3,15,0.0,0.0,0.0,0.3167897492946163,12008.2,0.0
priority_allocation,1,4,15,0.0,0.0,0.0,0.34047875406271993,15446.533333333333,0.0
priority_allocation,1,8,15,0.0,0.0,0.0,0.48949220713926594,35227.6,0.0
priority_allocation,2,2,15,0.0,0.0,0.0,0.0,6405.2,0.0
priority_allocation,2,3,15,0.0,0.0,0.0,0.0010869565217391304,7740.933333333333,0.0
priority_allocation,2,4,330,0.0,0.0,0.0,0.05555315815564651,10320.327272727272,0.0
priority_allocation,2,8,15,0.0,0.0,0.0,0.07428141751464039,30777.133333333335,0.0
priority_allocation,4,2,15,0.0,0.0,0.0,0.0,2541.6,0.0
priority_allocation,4,3,15,0.0,0.0,0.0,0.0,2795.4,0.0
priority_allocation,4,4,15,0.0,0.0,0.0,0.0,3683.4,0.0
priority_allocation,4,8,15,0.0,0.0,0.0,0.0,7544.466666666666,0.0
