allocation_policy,tenants_sharing_module,trial_count,mean_cq_queue_delay_ns,mean_excess_cq_queue_delay_ns,mean_excess_latency_ns,mean_detection_probability,mean_balanced_detection_accuracy,mean_conflict_count,mean_request_failure_rate,mean_cq_utilization,mean_reset_utilization,mean_allocation_hold_utilization,mean_reservation_utilization,mean_effective_cq_utilization,mean_epr_wastage_fraction,mean_grant_fairness,mean_wait_fairness,mean_victim_slowdown_ratio,mean_allocation_change_probability,mean_redirected_endpoints
random_allocation,2,60,0.0,0.0,0.0,0.0,0.5,4577.483333333334,0.06925316339629561,0.08697853476434904,0.039535697620158655,0.0,0.2938887268626536,0.42040295924716126,0.0,0.8928075390481245,0.5537640817267623,0.9179459614069312,0.08645833333333333,0.0
random_allocation,3,60,2.721875,0.0,0.0,0.0,0.5,5637.25,0.07937621822801902,0.09443155204280232,0.04292343274672832,0.0,0.32150958989788514,0.4588645746874158,0.0,0.7851660712551202,0.42327156842288444,0.9314991804867678,0.10659722222222222,0.0
random_allocation,4,375,61.29233333333333,54.175111111111114,53.914,0.035166666666666666,0.5175833333333333,9903.837333333333,0.06583515326756313,0.12149528688924552,0.06960141426200535,0.027529495521601922,0.44700016240230245,0.6656263590751553,0.08377251223824181,0.7556509766257785,0.3195983094689947,1.1509610005480946,0.1923888888888889,0.0
random_allocation,8,60,7.537152777777777,-2.320486111111111,-2.320486111111111,0.0,0.5,19032.616666666665,0.14293066088840736,0.12444264309523877,0.05656483777056308,0.0,0.41665855535332574,0.5976660362191275,0.0,0.6689115306126311,0.2079476163484021,0.9915281616731851,0.2138888888888889,0.0
round_robin,2,60,0.0,0.0,0.0,0.0,0.5,4611.95,0.06925316339629561,0.08697853476434904,0.039535697620158655,0.0,0.3095502799813346,0.43606451236584226,0.0,0.8928075390481245,0.5534682211451366,0.9179459614069312,0.3854166666666667,0.0
round_robin,3,60,0.0,0.0,0.0,0.0,0.5,5692.216666666666,0.07942202657282152,0.09464568062110794,0.04302076391868543,0.0,0.33475906940379363,0.47242551394358695,0.0,0.7848845940380716,0.43040152908857865,0.9402382950273042,0.4045138888888889,0.0
round_robin,4,375,69.82993567251462,48.94822222222222,48.88433333333333,0.03411111111111111,0.5170555555555556,9964.245333333334,0.07011199961118367,0.11949338532999078,0.06955839905520618,0.026139042843943503,0.4656495929011018,0.6808404201302423,0.07239733003939708,0.7541519086373729,0.3177916715894677,1.13081595491226,0.305,0.0
round_robin,8,60,5.974305555555556,-1.3055555555555556,-1.3055555555555556,0.0,0.5,19034.516666666666,0.14226136208064544,0.12410334079524787,0.056410609452385393,0.0,0.42912170504235564,0.6096356552899889,0.0,0.6653758821701921,0.2041210517712294,0.9722449217984401,0.4954861111111111,0.0
shared_global_pool,2,60,53.25,53.25,53.25,0.017708333333333333,0.5088541666666667,2808.75,0.011585365853658538,0.10042697153523099,0.04564862342510499,0.0,0.38737575828278115,0.5334513532431172,0.0,0.9058141713966309,0.7104327863420089,1.1577827424151081,0.9104166666666667,213.0
shared_global_pool,3,60,38.113888888888894,37.834375,37.834375,0.014930555555555556,0.5074652777777778,3485.3166666666666,0.012546583850931678,0.11224962298405397,0.051022555901842716,0.0,0.4401688732205608,0.6034410521064576,0.0,0.8083352292375722,0.5792261794286008,1.1604197623572252,0.9309027777777777,252.26666666666668
shared_global_pool,4,375,25.839777777777776,25.764666666666667,22.05911111111111,0.018111111111111113,0.5090555555555556,4599.058666666667,0.006713406222704135,0.13213732952717439,0.07771710028296419,0.0,0.6221136878248927,0.8319681176350314,0.07514098896962873,0.7676741924523423,0.3856674193217858,1.1202068109817511,0.8242777777777778,294.432
shared_global_pool,8,60,26.13125,25.27847222222222,25.27847222222222,0.011111111111111112,0.5055555555555555,11043.066666666668,0.033720018493734315,0.17445872467527948,0.07929942030694523,0.0,0.6556300955729323,0.9093882405551569,0.0,0.7323643040531272,0.3476088186988546,1.197780847314408,0.8861111111111111,439.8666666666667
static_assignment,2,60,0.0,0.0,0.0,0.0,0.5,8717.8,0.10400926095727123,0.08356509566028932,0.0379841343910406,0.0,0.25288205786280915,0.37443128791413904,0.0,0.9067654048898273,0.50075465109905,0.892043692984747,0.0,0.0
static_assignment,3,60,0.31145833333333334,0.0,0.0,0.0,0.5,10676.333333333334,0.11175333319071151,0.09133258761499935,0.041514812552272434,0.0,0.2747586864339147,0.40760608660118647,0.0,0.799011151495195,0.33850502887370854,0.885367230490616,0.0,0.0
static_assignment,4,375,0.0,0.0,0.0,0.0,0.5,13442.810666666666,0.11244276705794733,0.1096708311591408,0.06225422991478584,0.013895130935477954,0.3500023683763102,0.5358225603857147,0.041058234720443676,0.7678083070000074,0.26459503058690115,0.9817054161884967,0.0,0.0
static_assignment,8,60,9.489583333333334,-0.8993055555555556,-0.8993055555555556,0.0,0.5,32206.516666666666,0.20523268823600221,0.10581009581015705,0.04809549809552593,0.0,0.28296830831032177,0.43687390221600475,0.0,0.6624409583572987,0.13001396695864495,0.8830809632331967,0.0,0.0
