protocol_context,graph_mode,model_name,trace_id,graph_instance_id,repeat_id,true_boundary_count,predicted_boundary_count,matched_boundary_count,boundary_recall_within_tolerance,boundary_precision_within_tolerance,boundary_f1_within_tolerance,boundary_mae_ns,boundary_median_absolute_error_ns,boundary_mean_signed_error_ns,tolerance_ns
direct_coherent_dynamic_graph,global_only_control,hist_gradient_boosting,d187978e7fa5d17e254e,graph_0013,0,4,16,3,0.75,0.1875,0.3,1038.3077480177592,714.2567223996157,378.408785456267,2520.0
direct_coherent_dynamic_graph,global_only_control,hist_gradient_boosting,d2e6d312db43e3253ea5,graph_0003,1,3,9,3,1.0,0.3333333333333333,0.5,472.20258791923817,137.9449055461846,472.20258791923817,2520.0
direct_coherent_dynamic_graph,global_only_control,hist_gradient_boosting,d76e06ec722e29d63403,graph_0016,0,4,19,4,1.0,0.21052631578947367,0.34782608695652173,538.861789073241,139.1986972778086,399.66309179543236,2520.0
direct_coherent_dynamic_graph,global_only_control,hist_gradient_boosting,dd9b9065d4daee34a8f5,graph_0022,1,4,33,4,1.0,0.12121212121212122,0.21621621621621626,482.57160950205025,283.961086798985,301.8910550591331,2520.0
direct_coherent_dynamic_graph,global_only_control,hist_gradient_boosting,e406c4c517ca4e77bde1,graph_0017,1,5,26,5,1.0,0.19230769230769232,0.32258064516129037,321.10855801892683,313.3132134733969,246.18608355338438,2520.0
direct_coherent_dynamic_graph,global_only_control,hist_gradient_boosting,e96c9b39e2282bc2d11e,graph_0029,0,5,26,5,1.0,0.19230769230769232,0.32258064516129037,968.9769640183173,802.5543129473954,-612.1762303796417,2520.0
direct_coherent_dynamic_graph,global_only_control,hist_gradient_boosting,f86d183bc706edd32561,graph_0024,1,3,25,3,1.0,0.12,0.21428571428571425,716.5028017119142,820.5202392912124,169.4893088511059,2520.0
direct_coherent_dynamic_graph,global_only_control,hist_gradient_boosting,fde38889d28d13ef0cbd,graph_0013,1,4,19,4,1.0,0.21052631578947367,0.34782608695652173,672.9667530681586,345.07577807888083,672.9667530681586,2520.0
direct_coherent_dynamic_graph,global_only_control,logistic_regression,00a544660bf4e3f03197,graph_0006,1,3,8,2,0.6666666666666666,0.25,0.36363636363636365,2371.433302251766,2371.433302251766,31.106833605901556,2520.0
direct_coherent_dynamic_graph,global_only_control,logistic_regression,131f67e96845c062fc0e,graph_0016,1,4,22,3,0.75,0.13636363636363635,0.23076923076923075,723.9863406856715,246.65104703363977,-716.533761765431,2520.0
direct_coherent_dynamic_graph,global_only_control,logistic_regression,1e7813be7f76e60f60d4,graph_0003,0,3,12,3,1.0,0.25,0.4,631.3986582308777,887.4569636789893,612.2025879192382,2520.0
direct_coherent_dynamic_graph,global_only_control,logistic_regression,2b795abbe75dc56a8e61,graph_0024,0,3,14,3,1.0,0.21428571428571427,0.35294117647058826,856.5028017119142,400.5202392912124,589.4893088511059,2520.0
direct_coherent_dynamic_graph,global_only_control,logistic_regression,2bcf1e191ed0f0941f3e,graph_0017,0,5,23,4,0.8,0.17391304347826086,0.2857142857142857,782.5122364626368,659.6847743363724,99.16884319933524,2520.0
direct_coherent_dynamic_graph,global_only_control,logistic_regression,42084c12f1e78fcf4e73,graph_0006,0,3,20,3,1.0,0.15,0.2608695652173913,769.5918059811632,566.5617507316865,391.88397216003887,2520.0
direct_coherent_dynamic_graph,global_only_control,logistic_regression,8f8bd18a53d26ec7012c,graph_0022,0,4,20,4,1.0,0.2,0.33333333333333337,301.4735706909819,183.364625750115,-118.10894494086688,2520.0
direct_coherent_dynamic_graph,global_only_control,logistic_regression,a557848dc5a0b06da16a,graph_0005,0,5,16,5,1.0,0.3125,0.47619047619047616,1005.175835140865,1045.5984571947356,320.36761567125507,2520.0
direct_coherent_dynamic_graph,global_only_control,logistic_regression,bc3c494be0302c76283a,graph_0029,1,5,20,4,0.8,0.2,0.32000000000000006,771.2279421449841,381.85901891766343,-745.2270250966396,2520.0
direct_coherent_dynamic_graph,global_only_control,logistic_regression,c7c7968ca94d32dc5fb7,graph_0005,1,5,18,4,0.8,0.2222222222222222,0.3478260869565218,680.0701796273975,435.35250300672124,-595.9400947096151,2520.0
direct_coherent_dynamic_graph,global_only_control,logistic_regression,d187978e7fa5d17e254e,graph_0013,0,4,24,4,1.0,0.16666666666666666,0.2857142857142857,881.7747863160498,639.3325004784965,462.9667530681586,2520.0
direct_coherent_dynamic_graph,global_only_control,logistic_regression,d2e6d312db43e3253ea5,graph_0003,1,3,16,3,1.0,0.1875,0.3157894736842105,472.20258791923817,137.9449055461846,472.20258791923817,2520.0
direct_coherent_dynamic_graph,global_only_control,logistic_regression,d76e06ec722e29d63403,graph_0016,0,4,13,4,1.0,0.3076923076923077,0.47058823529411764,118.86178907324097,108.80862043948173,-20.336908204567635,2520.0
direct_coherent_dynamic_graph,global_only_control,logistic_regression,dd9b9065d4daee34a8f5,graph_0022,1,4,22,4,1.0,0.18181818181818182,0.3076923076923077,591.0912467724997,313.28053235606785,-223.10894494086688,2520.0
direct_coherent_dynamic_graph,global_only_control,logistic_regression,e406c4c517ca4e77bde1,graph_0017,1,5,24,5,1.0,0.20833333333333334,0.3448275862068966,405.10855801892683,313.3132134733969,162.18608355338438,2520.0
direct_coherent_dynamic_graph,global_only_control,logistic_regression,e96c9b39e2282bc2d11e,graph_0029,0,5,17,4,0.8,0.23529411764705882,0.3636363636363636,1499.645162652674,1738.5950312756158,-1480.2270250966396,2520.0
direct_coherent_dynamic_graph,global_only_control,logistic_regression,f86d183bc706edd32561,graph_0024,1,3,12,2,0.6666666666666666,0.16666666666666666,0.26666666666666666,990.2640849677455,990.2640849677455,169.74384567653306,2520.0
