trace_id,protocol_context,probe_index,probe_edge,release_ns,attacker_only_success,combined_success,attacker_only_completion_ns,combined_completion_ns,attacker_only_turnaround_ns,combined_turnaround_ns,excess_turnaround_ns,delayed,speedup,failure_transition
85adf70b5f1d3dcd368d,direct_coherent_dynamic_graph,52,module_3--module_4,21870.0,True,True,22020.0,22020.0,150.0,150.0,0.0,False,False,False
85adf70b5f1d3dcd368d,direct_coherent_dynamic_graph,53,module_1--module_4,22290.0,True,True,22440.0,22440.0,150.0,150.0,0.0,False,False,False
85adf70b5f1d3dcd368d,direct_coherent_dynamic_graph,54,module_2--module_3,22710.0,True,True,22860.0,22860.0,150.0,150.0,0.0,False,False,False
85adf70b5f1d3dcd368d,direct_coherent_dynamic_graph,55,module_1--module_4,23130.0,True,True,23280.0,23280.0,150.0,150.0,0.0,False,False,False
85adf70b5f1d3dcd368d,direct_coherent_dynamic_graph,56,module_3--module_4,23550.0,True,True,23700.0,23700.0,150.0,150.0,0.0,False,False,False
85adf70b5f1d3dcd368d,direct_coherent_dynamic_graph,57,module_1--module_2,23970.0,True,True,24120.0,24120.0,150.0,150.0,0.0,False,False,False
85adf70b5f1d3dcd368d,direct_coherent_dynamic_graph,58,module_1--module_3,24390.0,True,True,24540.0,24540.0,150.0,150.0,0.0,False,False,False
85adf70b5f1d3dcd368d,direct_coherent_dynamic_graph,59,module_2--module_4,24810.0,True,True,24960.0,25164.238636256203,150.0,354.2386362562029,204.23863625620288,True,False,False
85adf70b5f1d3dcd368d,direct_coherent_dynamic_graph,60,module_1--module_2,25230.0,True,True,25380.0,25380.0,150.0,150.0,0.0,False,False,False
85adf70b5f1d3dcd368d,direct_coherent_dynamic_graph,61,module_1--module_3,25650.0,True,True,25800.0,25800.0,150.0,150.0,0.0,False,False,False
85adf70b5f1d3dcd368d,direct_coherent_dynamic_graph,62,module_2--module_3,26070.0,True,True,26220.0,26220.0,150.0,150.0,0.0,False,False,False
85adf70b5f1d3dcd368d,direct_coherent_dynamic_graph,63,module_3--module_4,26490.0,True,True,26640.0,26640.0,150.0,150.0,0.0,False,False,False
85adf70b5f1d3dcd368d,direct_coherent_dynamic_graph,64,module_1--module_4,26910.0,True,True,27060.0,27060.0,150.0,150.0,0.0,False,False,False
85adf70b5f1d3dcd368d,direct_coherent_dynamic_graph,65,module_2--module_4,27330.0,True,True,27480.0,28264.313295531767,150.0,934.3132955317669,784.3132955317669,True,False,False
85adf70b5f1d3dcd368d,direct_coherent_dynamic_graph,66,module_1--module_2,27750.0,True,True,27900.0,27900.0,150.0,150.0,0.0,False,False,False
85adf70b5f1d3dcd368d,direct_coherent_dynamic_graph,67,module_3--module_4,28170.0,True,True,28320.0,28320.0,150.0,150.0,0.0,False,False,False
85adf70b5f1d3dcd368d,direct_coherent_dynamic_graph,68,module_2--module_3,28590.0,True,True,28740.0,28740.0,150.0,150.0,0.0,False,False,False
85adf70b5f1d3dcd368d,direct_coherent_dynamic_graph,69,module_2--module_4,29010.0,True,True,29160.0,29811.153120173203,150.0,801.1531201732032,651.1531201732032,True,False,False
85adf70b5f1d3dcd368d,direct_coherent_dynamic_graph,70,module_1--module_4,29430.0,True,True,29580.0,29580.0,150.0,150.0,0.0,False,False,False
85adf70b5f1d3dcd368d,direct_coherent_dynamic_graph,71,module_1--module_3,29850.0,True,True,30000.0,30000.0,150.0,150.0,0.0,False,False,False
85adf70b5f1d3dcd368d,direct_coherent_dynamic_graph,72,module_1--module_4,30270.0,True,True,30420.0,30420.0,150.0,150.0,0.0,False,False,False
85adf70b5f1d3dcd368d,direct_coherent_dynamic_graph,73,module_1--module_3,30690.0,True,True,30840.0,30840.0,150.0,150.0,0.0,False,False,False
85adf70b5f1d3dcd368d,direct_coherent_dynamic_graph,74,module_3--module_4,31110.0,True,True,31260.0,31260.0,150.0,150.0,0.0,False,False,False
85adf70b5f1d3dcd368d,direct_coherent_dynamic_graph,75,module_1--module_2,31530.0,True,True,31680.0,31680.0,150.0,150.0,0.0,False,False,False
85adf70b5f1d3dcd368d,direct_coherent_dynamic_graph,76,module_2--module_3,31950.0,True,True,32100.0,32100.0,150.0,150.0,0.0,False,False,False
85adf70b5f1d3dcd368d,direct_coherent_dynamic_graph,77,module_2--module_4,32370.0,True,True,32520.0,32520.0,150.0,150.0,0.0,False,False,False
