protocol_context,graph_mode,remote_profile,true_active_edge,probe_edge,probe_count,mean_excess_ns,mean_abs_excess_ns,mean_positive_excess_ns,delayed_fraction,speedup_fraction,failure_transition_fraction
direct_coherent_dynamic_graph,global_only_control,dense_periodic,module_2--module_4,module_1--module_2,8,18.65726912280843,18.65726912280843,18.65726912280843,0.25,0.0,0.0
direct_coherent_dynamic_graph,global_only_control,dense_periodic,module_2--module_4,module_1--module_3,7,7.198322259010248,7.198322259010248,7.198322259010248,0.2857142857142857,0.0,0.0
direct_coherent_dynamic_graph,global_only_control,dense_periodic,module_2--module_4,module_1--module_4,10,1.396826759983378,1.396826759983378,1.396826759983378,0.1,0.0,0.0
direct_coherent_dynamic_graph,global_only_control,dense_periodic,module_2--module_4,module_2--module_3,6,3.5547553161771552,3.5547553161771552,3.5547553161771552,0.16666666666666666,0.0,0.0
direct_coherent_dynamic_graph,global_only_control,dense_periodic,module_2--module_4,module_2--module_4,7,17.235036902835418,17.235036902835418,17.235036902835418,0.2857142857142857,0.0,0.0
direct_coherent_dynamic_graph,global_only_control,dense_periodic,module_2--module_4,module_3--module_4,10,0.0,0.0,0.0,0.0,0.0,0.0
direct_coherent_dynamic_graph,global_only_control,dense_periodic,module_3--module_4,module_1--module_2,17,0.0,0.0,0.0,0.0,0.0,0.0
direct_coherent_dynamic_graph,global_only_control,dense_periodic,module_3--module_4,module_1--module_3,18,12.697361213290732,12.697361213290732,12.697361213290732,0.3333333333333333,0.0,0.0
direct_coherent_dynamic_graph,global_only_control,dense_periodic,module_3--module_4,module_1--module_4,14,1.7564020508309892,1.7564020508309892,1.7564020508309892,0.07142857142857142,0.0,0.0
direct_coherent_dynamic_graph,global_only_control,dense_periodic,module_3--module_4,module_2--module_3,18,6.970559449955949,6.970559449955949,6.970559449955949,0.16666666666666666,0.0,0.0
direct_coherent_dynamic_graph,global_only_control,dense_periodic,module_3--module_4,module_2--module_4,18,5.085795865214499,5.085795865214499,5.085795865214499,0.1111111111111111,0.0,0.0
direct_coherent_dynamic_graph,global_only_control,dense_periodic,module_3--module_4,module_3--module_4,17,17.265905675032254,17.265905675032254,17.265905675032254,0.35294117647058826,0.0,0.0
direct_coherent_dynamic_graph,global_only_control,sparse_periodic,module_1--module_2,module_1--module_2,9,7.699593235790922,7.699593235790922,7.699593235790922,0.1111111111111111,0.0,0.0
direct_coherent_dynamic_graph,global_only_control,sparse_periodic,module_1--module_2,module_1--module_3,12,11.094871644335095,11.094871644335095,11.094871644335095,0.16666666666666666,0.0,0.0
direct_coherent_dynamic_graph,global_only_control,sparse_periodic,module_1--module_2,module_1--module_4,12,13.682269086139058,13.682269086139058,13.682269086139058,0.16666666666666666,0.0,0.0
direct_coherent_dynamic_graph,global_only_control,sparse_periodic,module_1--module_2,module_2--module_3,11,0.0,0.0,0.0,0.0,0.0,0.0
direct_coherent_dynamic_graph,global_only_control,sparse_periodic,module_1--module_2,module_2--module_4,10,7.887636797004234,7.887636797004234,7.887636797004234,0.1,0.0,0.0
direct_coherent_dynamic_graph,global_only_control,sparse_periodic,module_1--module_2,module_3--module_4,10,10.9187885181429,10.9187885181429,10.9187885181429,0.2,0.0,0.0
direct_coherent_dynamic_graph,global_only_control,sparse_periodic,module_1--module_3,module_1--module_2,18,0.0,0.0,0.0,0.0,0.0,0.0
direct_coherent_dynamic_graph,global_only_control,sparse_periodic,module_1--module_3,module_1--module_3,20,2.1724772359267264,2.1724772359267264,2.1724772359267264,0.1,0.0,0.0
direct_coherent_dynamic_graph,global_only_control,sparse_periodic,module_1--module_3,module_1--module_4,21,10.168131301175716,10.168131301175716,10.168131301175716,0.14285714285714285,0.0,0.0
direct_coherent_dynamic_graph,global_only_control,sparse_periodic,module_1--module_3,module_2--module_3,20,3.689309894353573,3.689309894353573,3.689309894353573,0.05,0.0,0.0
direct_coherent_dynamic_graph,global_only_control,sparse_periodic,module_1--module_3,module_2--module_4,23,9.515381642572265,9.515381642572265,9.515381642572265,0.17391304347826086,0.0,0.0
direct_coherent_dynamic_graph,global_only_control,sparse_periodic,module_1--module_3,module_3--module_4,20,4.639830986454399,4.639830986454399,4.639830986454399,0.05,0.0,0.0
direct_coherent_dynamic_graph,global_only_control,sparse_periodic,module_1--module_4,module_1--module_2,18,7.893365316526494,7.893365316526494,7.893365316526494,0.1111111111111111,0.0,0.0
direct_coherent_dynamic_graph,global_only_control,sparse_periodic,module_1--module_4,module_1--module_3,16,0.0,0.0,0.0,0.0,0.0,0.0
direct_coherent_dynamic_graph,global_only_control,sparse_periodic,module_1--module_4,module_1--module_4,16,4.820081797731746,4.820081797731746,4.820081797731746,0.125,0.0,0.0
direct_coherent_dynamic_graph,global_only_control,sparse_periodic,module_1--module_4,module_2--module_3,16,5.8357756264198315,5.8357756264198315,5.8357756264198315,0.125,0.0,0.0
direct_coherent_dynamic_graph,global_only_control,sparse_periodic,module_1--module_4,module_2--module_4,19,8.283688489225346,8.283688489225346,8.283688489225346,0.10526315789473684,0.0,0.0
direct_coherent_dynamic_graph,global_only_control,sparse_periodic,module_1--module_4,module_3--module_4,17,9.781636645520313,9.781636645520313,9.781636645520313,0.17647058823529413,0.0,0.0
direct_coherent_dynamic_graph,global_only_control,sparse_periodic,module_3--module_4,module_1--module_2,4,0.0,0.0,0.0,0.0,0.0,0.0
direct_coherent_dynamic_graph,global_only_control,sparse_periodic,module_3--module_4,module_1--module_3,4,0.0,0.0,0.0,0.0,0.0,0.0
direct_coherent_dynamic_graph,global_only_control,sparse_periodic,module_3--module_4,module_1--module_4,6,8.524064973789791,8.524064973789791,8.524064973789791,0.3333333333333333,0.0,0.0
direct_coherent_dynamic_graph,global_only_control,sparse_periodic,module_3--module_4,module_2--module_3,4,19.211217026864688,19.211217026864688,19.211217026864688,0.25,0.0,0.0
direct_coherent_dynamic_graph,global_only_control,sparse_periodic,module_3--module_4,module_2--module_4,5,8.652009241026827,8.652009241026827,8.652009241026827,0.2,0.0,0.0
direct_coherent_dynamic_graph,global_only_control,sparse_periodic,module_3--module_4,module_3--module_4,5,0.0,0.0,0.0,0.0,0.0,0.0
direct_coherent_dynamic_graph,global_only_control,synchronization_bursty,module_1--module_2,module_1--module_2,10,22.6839062007155,22.6839062007155,22.6839062007155,0.3,0.0,0.0
direct_coherent_dynamic_graph,global_only_control,synchronization_bursty,module_1--module_2,module_1--module_3,12,7.124496175292127,7.124496175292127,7.124496175292127,0.16666666666666666,0.0,0.0
direct_coherent_dynamic_graph,global_only_control,synchronization_bursty,module_1--module_2,module_1--module_4,11,7.47737418256491,7.47737418256491,7.47737418256491,0.18181818181818182,0.0,0.0
direct_coherent_dynamic_graph,global_only_control,synchronization_bursty,module_1--module_2,module_2--module_3,12,5.437580614208552,5.437580614208552,5.437580614208552,0.08333333333333333,0.0,0.0
direct_coherent_dynamic_graph,global_only_control,synchronization_bursty,module_1--module_2,module_2--module_4,13,10.464235003383063,10.464235003383063,10.464235003383063,0.23076923076923078,0.0,0.0
direct_coherent_dynamic_graph,global_only_control,synchronization_bursty,module_1--module_2,module_3--module_4,12,17.93634672332185,17.93634672332185,17.93634672332185,0.3333333333333333,0.0,0.0
direct_coherent_dynamic_graph,global_only_control,synchronization_bursty,module_1--module_4,module_1--module_2,10,9.792542401775155,9.792542401775155,9.792542401775155,0.2,0.0,0.0
direct_coherent_dynamic_graph,global_only_control,synchronization_bursty,module_1--module_4,module_1--module_3,10,20.940412116447305,20.940412116447305,20.940412116447305,0.5,0.0,0.0
direct_coherent_dynamic_graph,global_only_control,synchronization_bursty,module_1--module_4,module_1--module_4,12,10.531494903581612,10.531494903581612,10.531494903581612,0.16666666666666666,0.0,0.0
direct_coherent_dynamic_graph,global_only_control,synchronization_bursty,module_1--module_4,module_2--module_3,12,18.188693818141854,18.188693818141854,18.188693818141854,0.4166666666666667,0.0,0.0
direct_coherent_dynamic_graph,global_only_control,synchronization_bursty,module_1--module_4,module_2--module_4,10,12.233652805777501,12.233652805777501,12.233652805777501,0.2,0.0,0.0
direct_coherent_dynamic_graph,global_only_control,synchronization_bursty,module_1--module_4,module_3--module_4,12,12.82347041108081,12.82347041108081,12.82347041108081,0.25,0.0,0.0
direct_coherent_dynamic_graph,global_only_control,synchronization_bursty,module_2--module_3,module_1--module_2,30,17.034243933837207,17.034243933837207,17.034243933837207,0.26666666666666666,0.0,0.0
direct_coherent_dynamic_graph,global_only_control,synchronization_bursty,module_2--module_3,module_1--module_3,30,10.219452769142586,10.219452769142586,10.219452769142586,0.3333333333333333,0.0,0.0
direct_coherent_dynamic_graph,global_only_control,synchronization_bursty,module_2--module_3,module_1--module_4,33,13.975302893139913,13.975302893139913,13.975302893139913,0.2727272727272727,0.0,0.0
direct_coherent_dynamic_graph,global_only_control,synchronization_bursty,module_2--module_3,module_2--module_3,29,11.19527308446084,11.19527308446084,11.19527308446084,0.27586206896551724,0.0,0.0
direct_coherent_dynamic_graph,global_only_control,synchronization_bursty,module_2--module_3,module_2--module_4,30,8.984517431454394,8.984517431454394,8.984517431454394,0.23333333333333334,0.0,0.0
direct_coherent_dynamic_graph,global_only_control,synchronization_bursty,module_2--module_3,module_3--module_4,26,17.139317520741542,17.139317520741542,17.139317520741542,0.34615384615384615,0.0,0.0
direct_coherent_dynamic_graph,global_only_control,synchronization_bursty,module_3--module_4,module_1--module_2,6,14.915075793100186,14.915075793100186,14.915075793100186,0.5,0.0,0.0
direct_coherent_dynamic_graph,global_only_control,synchronization_bursty,module_3--module_4,module_1--module_3,4,11.4381750992643,11.4381750992643,11.4381750992643,0.25,0.0,0.0
direct_coherent_dynamic_graph,global_only_control,synchronization_bursty,module_3--module_4,module_1--module_4,5,18.022736312740015,18.022736312740015,18.022736312740015,0.2,0.0,0.0
direct_coherent_dynamic_graph,global_only_control,synchronization_bursty,module_3--module_4,module_2--module_3,6,0.9907561214192052,0.9907561214192052,0.9907561214192052,0.16666666666666666,0.0,0.0
direct_coherent_dynamic_graph,global_only_control,synchronization_bursty,module_3--module_4,module_2--module_4,5,6.471309347308124,6.471309347308124,6.471309347308124,0.2,0.0,0.0
direct_coherent_dynamic_graph,global_only_control,synchronization_bursty,module_3--module_4,module_3--module_4,6,0.0,0.0,0.0,0.0,0.0,0.0
entanglement_assisted_dynamic_graph,edge_localized,dense_periodic,module_1--module_3,module_1--module_2,27,0.0,0.0,0.0,0.0,0.0,0.0
entanglement_assisted_dynamic_graph,edge_localized,dense_periodic,module_1--module_3,module_1--module_3,28,-119.72013212588614,119.72013212588614,0.0,0.0,0.5357142857142857,0.0
entanglement_assisted_dynamic_graph,edge_localized,dense_periodic,module_1--module_3,module_1--module_4,28,-17.142857142857142,17.142857142857142,0.0,0.0,0.07142857142857142,0.0
entanglement_assisted_dynamic_graph,edge_localized,dense_periodic,module_1--module_3,module_2--module_3,26,0.0,0.0,0.0,0.0,0.0,0.0
entanglement_assisted_dynamic_graph,edge_localized,dense_periodic,module_1--module_3,module_2--module_4,23,0.0,0.0,0.0,0.0,0.0,0.0
entanglement_assisted_dynamic_graph,edge_localized,dense_periodic,module_1--module_3,module_3--module_4,28,0.0,0.0,0.0,0.0,0.0,0.0
entanglement_assisted_dynamic_graph,edge_localized,dense_periodic,module_2--module_3,module_1--module_2,4,0.0,0.0,0.0,0.0,0.0,0.0
entanglement_assisted_dynamic_graph,edge_localized,dense_periodic,module_2--module_3,module_1--module_3,6,0.0,0.0,0.0,0.0,0.0,0.0
entanglement_assisted_dynamic_graph,edge_localized,dense_periodic,module_2--module_3,module_1--module_4,5,-48.0,48.0,0.0,0.0,0.2,0.0
entanglement_assisted_dynamic_graph,edge_localized,dense_periodic,module_2--module_3,module_2--module_3,6,-58.333333333333336,101.66666666666667,21.666666666666668,0.16666666666666666,0.3333333333333333,0.0
entanglement_assisted_dynamic_graph,edge_localized,dense_periodic,module_2--module_3,module_2--module_4,5,0.0,0.0,0.0,0.0,0.0,0.0
entanglement_assisted_dynamic_graph,edge_localized,dense_periodic,module_2--module_3,module_3--module_4,4,0.0,0.0,0.0,0.0,0.0,0.0
entanglement_assisted_dynamic_graph,edge_localized,dense_periodic,module_2--module_4,module_1--module_2,8,0.0,0.0,0.0,0.0,0.0,0.0
