graph_instance_id,repeat_id,phase_index,active_edge,remote_profile,phase_local_request_index,victim_request_index,release_ns,protocol_context,graph_mode
graph_0002,0,0,module_1--module_4,dense_periodic,2,2,1133.1878187285033,direct_coherent_dynamic_graph,edge_localized
graph_0002,0,0,module_1--module_4,dense_periodic,3,3,1635.4728001742922,direct_coherent_dynamic_graph,edge_localized
graph_0002,0,0,module_1--module_4,dense_periodic,4,4,2147.6621846384737,direct_coherent_dynamic_graph,edge_localized
graph_0002,0,0,module_1--module_4,dense_periodic,5,5,2650.440736248978,direct_coherent_dynamic_graph,edge_localized
graph_0002,0,0,module_1--module_4,dense_periodic,6,6,3156.1614433063437,direct_coherent_dynamic_graph,edge_localized
graph_0002,0,0,module_1--module_4,dense_periodic,7,7,3660.3097762574193,direct_coherent_dynamic_graph,edge_localized
graph_0002,0,0,module_1--module_4,dense_periodic,8,8,4171.489302905275,direct_coherent_dynamic_graph,edge_localized
graph_0002,0,0,module_1--module_4,dense_periodic,9,9,4675.549610222471,direct_coherent_dynamic_graph,edge_localized
graph_0002,0,0,module_1--module_4,dense_periodic,10,10,5183.439100061035,direct_coherent_dynamic_graph,edge_localized
graph_0002,0,0,module_1--module_4,dense_periodic,11,11,5689.05413744123,direct_coherent_dynamic_graph,edge_localized
graph_0002,0,0,module_1--module_4,dense_periodic,12,12,6201.659466838877,direct_coherent_dynamic_graph,edge_localized
graph_0002,0,0,module_1--module_4,dense_periodic,13,13,6712.34053052358,direct_coherent_dynamic_graph,edge_localized
graph_0002,0,0,module_1--module_4,dense_periodic,14,14,7218.228394867221,direct_coherent_dynamic_graph,edge_localized
graph_0002,0,2,module_2--module_4,synchronization_bursty,0,15,14293.27203324743,direct_coherent_dynamic_graph,edge_localized
graph_0002,0,2,module_2--module_4,synchronization_bursty,1,16,14375.645586951936,direct_coherent_dynamic_graph,edge_localized
graph_0002,0,2,module_2--module_4,synchronization_bursty,2,17,14457.095634392688,direct_coherent_dynamic_graph,edge_localized
graph_0002,0,2,module_2--module_4,synchronization_bursty,3,18,15891.38835975864,direct_coherent_dynamic_graph,edge_localized
graph_0002,0,2,module_2--module_4,synchronization_bursty,4,19,15973.87236734255,direct_coherent_dynamic_graph,edge_localized
graph_0002,0,2,module_2--module_4,synchronization_bursty,5,20,16053.140365479156,direct_coherent_dynamic_graph,edge_localized
graph_0002,0,2,module_2--module_4,synchronization_bursty,6,21,17489.79582670005,direct_coherent_dynamic_graph,edge_localized
graph_0002,0,2,module_2--module_4,synchronization_bursty,7,22,17570.059709465473,direct_coherent_dynamic_graph,edge_localized
graph_0002,0,2,module_2--module_4,synchronization_bursty,8,23,17650.269382406663,direct_coherent_dynamic_graph,edge_localized
graph_0002,0,2,module_2--module_4,synchronization_bursty,9,24,19080.18950681222,direct_coherent_dynamic_graph,edge_localized
graph_0002,0,2,module_2--module_4,synchronization_bursty,10,25,19161.6935255403,direct_coherent_dynamic_graph,edge_localized
graph_0002,0,2,module_2--module_4,synchronization_bursty,11,26,19243.053041791667,direct_coherent_dynamic_graph,edge_localized
graph_0002,0,2,module_2--module_4,synchronization_bursty,12,27,20676.656801441277,direct_coherent_dynamic_graph,edge_localized
graph_0002,0,2,module_2--module_4,synchronization_bursty,13,28,20766.81757686679,direct_coherent_dynamic_graph,edge_localized
graph_0002,0,2,module_2--module_4,synchronization_bursty,14,29,20845.218704134877,direct_coherent_dynamic_graph,edge_localized
graph_0002,0,4,module_1--module_2,sparse_periodic,0,30,28663.63025196987,direct_coherent_dynamic_graph,edge_localized
graph_0002,0,4,module_1--module_2,sparse_periodic,1,31,29759.384434880023,direct_coherent_dynamic_graph,edge_localized
graph_0002,0,4,module_1--module_2,sparse_periodic,2,32,30855.404118701746,direct_coherent_dynamic_graph,edge_localized
graph_0002,0,4,module_1--module_2,sparse_periodic,3,33,31951.875919426973,direct_coherent_dynamic_graph,edge_localized
graph_0002,0,4,module_1--module_2,sparse_periodic,4,34,33039.795435334,direct_coherent_dynamic_graph,edge_localized
graph_0002,0,5,module_1--module_3,dense_periodic,0,35,34124.86024448315,direct_coherent_dynamic_graph,edge_localized
graph_0002,0,5,module_1--module_3,dense_periodic,1,36,34678.8909528687,direct_coherent_dynamic_graph,edge_localized
graph_0002,0,5,module_1--module_3,dense_periodic,2,37,35231.210339156394,direct_coherent_dynamic_graph,edge_localized
graph_0002,0,5,module_1--module_3,dense_periodic,3,38,35778.39373227644,direct_coherent_dynamic_graph,edge_localized
graph_0002,0,5,module_1--module_3,dense_periodic,4,39,36329.39664592581,direct_coherent_dynamic_graph,edge_localized
graph_0002,0,5,module_1--module_3,dense_periodic,5,40,36881.07034611882,direct_coherent_dynamic_graph,edge_localized
graph_0002,0,5,module_1--module_3,dense_periodic,6,41,37433.2379923608,direct_coherent_dynamic_graph,edge_localized
graph_0002,0,5,module_1--module_3,dense_periodic,7,42,37978.7438748615,direct_coherent_dynamic_graph,edge_localized
graph_0002,0,5,module_1--module_3,dense_periodic,8,43,38535.370647246185,direct_coherent_dynamic_graph,edge_localized
graph_0002,0,5,module_1--module_3,dense_periodic,9,44,39082.433588007705,direct_coherent_dynamic_graph,edge_localized
