base_schedule_id,repeat_id,schedule_profile,victim_request_index,release_ns
base_0002,1,synchronization_bursty,35,8232.766019907767
base_0002,1,synchronization_bursty,36,9494.73772154703
base_0002,1,synchronization_bursty,37,9557.823944584803
base_0002,1,synchronization_bursty,38,9616.375228570949
base_0002,1,synchronization_bursty,39,9677.300555710879
base_0002,1,synchronization_bursty,40,9729.960924346815
base_0002,1,synchronization_bursty,41,9789.006982376259
base_0002,1,synchronization_bursty,42,11056.145244780568
base_0002,1,synchronization_bursty,43,11117.150173036272
base_0002,1,synchronization_bursty,44,11168.814055386634
base_0002,1,synchronization_bursty,45,11231.71298518836
base_0002,1,synchronization_bursty,46,11289.331025693538
base_0002,1,synchronization_bursty,47,11354.515956388947
base_0002,1,synchronization_bursty,48,12609.185796760532
base_0002,1,synchronization_bursty,49,12675.014346505972
base_0002,1,synchronization_bursty,50,12732.457267847642
base_0002,1,synchronization_bursty,51,12791.783421523616
base_0002,1,synchronization_bursty,52,12852.93875408476
base_0002,1,synchronization_bursty,53,12908.842823359106
base_0002,1,synchronization_bursty,54,14169.28504454705
base_0002,1,synchronization_bursty,55,14225.33583640594
base_0002,1,synchronization_bursty,56,14291.309456482797
base_0002,1,synchronization_bursty,57,14352.033296967653
base_0002,1,synchronization_bursty,58,14404.706121032623
base_0002,1,synchronization_bursty,59,14468.582976494195
base_0002,1,synchronization_bursty,60,15728.03912033137
base_0002,1,synchronization_bursty,61,15786.731529599729
base_0002,1,synchronization_bursty,62,15850.592936440178
base_0002,1,synchronization_bursty,63,15903.560095136081
base_0002,1,synchronization_bursty,64,15967.610576439281
base_0002,1,synchronization_bursty,65,16022.579171835358
base_0002,1,synchronization_bursty,66,17288.30726503985
base_0002,1,synchronization_bursty,67,17347.685152994698
base_0002,1,synchronization_bursty,68,17406.74410561463
base_0002,1,synchronization_bursty,69,17467.35555108576
base_0002,1,synchronization_bursty,70,17527.10627523705
base_0002,1,synchronization_bursty,71,17586.728854592373
base_0002,1,synchronization_bursty,72,18840.393009153766
base_0002,1,synchronization_bursty,73,18906.92887000153
base_0002,1,synchronization_bursty,74,18960.73943050779
base_0002,1,synchronization_bursty,75,19026.084971120454
base_0002,1,synchronization_bursty,76,19077.985249213034
base_0002,1,synchronization_bursty,77,19143.683528508398
base_0003,0,sparse_periodic,0,293.0781113864138
base_0003,0,sparse_periodic,1,1471.2103259238147
base_0003,0,sparse_periodic,2,2644.174438173968
base_0003,0,sparse_periodic,3,3819.356000862438
base_0003,0,sparse_periodic,4,5004.312558434015
base_0003,0,sparse_periodic,5,6179.982373139468
base_0003,0,sparse_periodic,6,7352.301767414752
base_0003,0,sparse_periodic,7,8531.024707078734
base_0003,0,sparse_periodic,8,9712.984564083274
base_0003,0,sparse_periodic,9,10891.881447290567
base_0003,0,sparse_periodic,10,12064.320839103979
base_0003,0,sparse_periodic,11,13247.039608391577
base_0003,0,sparse_periodic,12,14421.62689132143
base_0003,0,sparse_periodic,13,15596.828667130909
base_0003,0,sparse_periodic,14,16779.695342702413
base_0003,0,sparse_periodic,15,17950.110985162868
base_0003,0,sparse_periodic,16,19128.661166720613
base_0003,1,sparse_periodic,0,293.69338232679667
base_0003,1,sparse_periodic,1,1471.5903968436892
base_0003,1,sparse_periodic,2,2650.6205460553874
base_0003,1,sparse_periodic,3,3826.0446420499875
base_0003,1,sparse_periodic,4,5009.283609235616
