scheduler_policy,communication_qubits_per_module,trial_count,mean_remote_latency_ns,p95_remote_latency_ns,p99_remote_latency_ns,mean_queue_delay_ns,p95_queue_delay_ns,mean_positive_delay_fraction,mean_negative_speedup_fraction,mean_failure_transition_fraction,mean_observable_change_fraction,mean_signed_attacker_change_ns,mean_absolute_attacker_change_ns,mean_victim_slowdown_ratio_successful_only,victim_success_probability,tenant_success_fairness,tenant_wait_fairness,hub_utilization,link_utilization,communication_qubit_utilization,scheduler_reordering_rate,deadline_miss_fraction,mean_phase_boundary_visibility,mean_preemption_count,mean_epr_expiration_fraction,mean_queue_occupancy,mean_maximum_queue_occupancy,request_rejection_fraction
randomized_arbitration,2,600,863.6846666458645,2997.6516666666657,3480.5167833333335,747.4424763469423,2878.295416666666,0.07291666666666667,0.012326388888888888,0.2679861111111111,0.3535763888888889,49.34767361111111,53.06503472222222,1.0212024103477384,0.4266666666666667,0.8851017450417944,0.6139297972671918,0.29243597265827004,0.16190332513304026,0.11879367539568667,0.04178194649228724,0.3685252336649662,0.453770818558181,14.24,0.00636253790490461,3.659794057535535,24.881666666666668,0.2260195035460993
randomized_arbitration,4,45,712.7074253433904,2468.0011111111107,2861.35,597.9091468573057,2354.856666666666,0.014814814814814814,0.0037037037037037034,0.2287037037037037,0.24722222222222223,6.3240740740740735,6.731481481481482,1.0094039563166182,0.4666666666666667,0.885858887079899,0.6159576425079779,0.2930187312754895,0.17248033693824935,0.0586037462550979,0.033176783215365685,0.33463553626077347,0.237714057469428,0.0,0.0,3.9046120136559472,23.488888888888887,0.22192273135669363
randomized_arbitration,8,45,691.1589793828567,2477.916666666666,2932.0911111111113,576.6005256742526,2364.016666666666,0.019444444444444445,0.002777777777777778,0.14583333333333334,0.16805555555555557,6.638888888888889,6.972222222222222,1.0059950114885616,0.4666666666666667,0.8987446934630482,0.6274078439903901,0.30173877707934715,0.175573656990135,0.03017387770793472,0.032641009668103724,0.3158972171794752,0.23568972151560288,0.0,0.0,3.8957239332314177,23.711111111111112,0.20095837076969153
round_robin_tenants,1,45,968.106771731458,3225.465555555555,3755.921777777777,853.3823307865878,3111.8488888888887,0.12037037037037038,0.011574074074074075,0.18703703703703703,0.3189814814814815,21.75925925925926,23.537037037037038,1.1135585685841962,0.4666666666666667,0.8963106953966217,0.6195032132728829,0.2992187556621475,0.1752131778468219,0.239375004529718,0.0396862638988529,0.3674374122082851,0.5586297455407333,0.0,0.0,5.970405960075964,25.955555555555556,0.21308775082359988
round_robin_tenants,2,600,852.8128524378676,2917.5612499999997,3315.6140333333333,738.8354356641297,2803.183499999999,0.06197916666666667,0.020972222222222222,0.28503472222222226,0.3680555555555556,28.268854166666667,39.06003472222222,1.0170099599409284,0.425,0.8810249744229949,0.5929670573331455,0.29008355422606935,0.16078468798622336,0.11775967415852281,0.03708750522104382,0.3702093207687959,0.46431568984306293,5.395,0.00644057030223871,3.5989886927783443,24.893333333333334,0.23187056737588652
round_robin_tenants,4,45,702.742962237309,2374.853333333333,2712.928222222222,587.9482506885263,2262.566666666666,0.016666666666666666,0.00787037037037037,0.2287037037037037,0.25324074074074077,4.972222222222222,6.5092592592592595,1.00950131701634,0.4666666666666667,0.8857465329781488,0.6137301017119522,0.2929549724332729,0.1724079623431085,0.05859099448665457,0.029126414573599012,0.3310637818503093,0.28549723480343275,0.0,0.0,3.8266105734776477,23.6,0.22207247678945793
round_robin_tenants,8,45,675.4314623827702,2366.8133333333326,2740.3748888888886,560.7688082771908,2254.5922222222216,0.01759259259259259,0.006944444444444444,0.1675925925925926,0.19212962962962965,0.7629629629629631,3.1259259259259258,1.0119335239137108,0.4666666666666667,0.8987851147779804,0.6190943340087912,0.30049975189062994,0.1755787848923319,0.030049975189062994,0.02868373629960267,0.3170949469393492,0.2469016753938123,0.0,0.0,3.8017975351649556,23.666666666666668,0.20500149745432764
shortest_operation_first,1,45,883.2867483360358,3044.0699999999993,3641.3157777777774,768.5586286691748,2928.3533333333326,0.12916666666666668,0.00787037037037037,0.18703703703703703,0.32407407407407407,20.633333333333333,21.503703703703703,1.1002724715590986,0.4666666666666667,0.8964604613225008,0.493255917938083,0.2995519677135231,0.1754662800681313,0.2396415741708185,0.03968932094487577,0.35367414567651756,0.4367835814250656,0.0,0.0,5.265478271370373,25.177777777777777,0.21218927822701408
shortest_operation_first,2,600,862.510511199801,3023.9237499999995,3389.3417,750.4034254613449,2907.6465833333327,0.05392361111111111,0.0146875,0.2866666666666667,0.35565972222222225,26.444618055555555,30.588368055555552,1.0240849732398292,0.4266666666666667,0.882204712023458,0.5292774323470634,0.29092427879937527,0.16123611421699524,0.11810123988168182,0.04698453880548398,0.36792051708085466,0.4504423089019584,2.8933333333333335,0.005897944210288297,3.6313891611064046,24.858333333333334,0.23077349290780141
shortest_operation_first,4,45,710.9240491901623,2488.7044444444437,2821.7508888888888,596.1279352062423,2372.484444444444,0.013425925925925924,0.0037037037037037034,0.2287037037037037,0.24583333333333332,2.5833333333333335,3.0462962962962967,1.0055761523384061,0.4666666666666667,0.8856821146144251,0.5406917127884762,0.2929015536298541,0.17238659482174098,0.058580310725970815,0.035693147495173085,0.3295737972934368,0.27322251189041197,0.0,0.0,3.8793427423373523,23.644444444444446,0.2222222222222222
shortest_operation_first,8,45,680.9714471581465,2456.0422222222214,2825.1537777777776,566.3087930525671,2340.594444444444,0.014351851851851853,0.002777777777777778,0.1675925925925926,0.18472222222222223,2.314814814814815,2.6481481481481484,1.00415527459275,0.4666666666666667,0.8987851147779804,0.5570795116662968,0.30049975189062994,0.1755787848923319,0.030049975189062994,0.03326291925018102,0.3171524502274028,0.24276668272967994,0.0,0.0,3.852427084995859,23.822222222222223,0.20500149745432764
static_circuit_layer,1,45,1494.002747668543,4372.972222222222,4846.935555555556,1380.1367041242856,4260.572222222221,0.1398148148148148,0.002777777777777778,0.23703703703703702,0.3796296296296296,60.9537037037037,61.19444444444444,1.1386000904202198,0.4,0.8330871480787937,0.5948555020172038,0.26792026691596205,0.15356923935326147,0.21433621353276963,0.06154777473192882,0.4404965542750173,0.4336500443685149,0.0,0.0,7.777389973788957,28.288888888888888,0.29230308475591493
static_circuit_layer,2,600,1424.444412071519,4098.372083333333,4586.146583333334,1311.9562107344482,3984.7355,0.0804861111111111,0.017152777777777777,0.32038194444444446,0.41805555555555557,80.66484878389156,90.26350375465178,1.057685802473774,0.26166666666666666,0.8350267164526521,0.6050421284040215,0.2661645059076625,0.14581554447075024,0.10719277957978841,0.06134828695501556,0.4602050286139025,0.4499558961793113,0.9866666666666667,0.01695578263240615,5.271316610636882,27.758333333333333,0.3041334219858156
static_circuit_layer,4,45,1196.0319490932377,3594.2722222222214,4050.27,1081.8884144169704,3482.783333333333,0.035648148148148144,0.003240740740740741,0.1925925925925926,0.23148148148148145,3.111111111111111,3.5370370370370368,1.0235717917822753,0.4,0.8529061664283616,0.6502984800196818,0.2782928824975996,0.160179808934003,0.05565857649951993,0.050738227242881975,0.39947571335474563,0.28721092299262246,0.0,0.0,6.143339089627605,27.666666666666668,0.2593590895477688
static_circuit_layer,8,45,1264.8949086484024,3595.9611111111103,4024.1977777777774,1151.260914693277,3483.8611111111104,0.03935185185185185,0.005092592592592592,0.19444444444444445,0.2388888888888889,3.8425925925925926,4.546296296296297,1.018765002045393,0.4,0.847418557063453,0.6328510972277595,0.2711465471542422,0.15468595202671973,0.02711465471542422,0.0539408973736464,0.41423204280082837,0.26833503567462136,0.0,0.0,6.058167105033631,27.822222222222223,0.27942497753818507
weighted_fair_queueing,1,45,910.9641263337436,3097.277777777777,3642.493333333333,796.2868244158136,2984.3222222222216,0.1375,0.009259259259259259,0.16620370370370371,0.312962962962963,18.24074074074074,19.203703703703706,1.0955859073979135,0.4666666666666667,0.9010762256591663,0.6096931163462426,0.3016047572423217,0.17609683040429375,0.24128380579385736,0.03642994528312072,0.3603243602100338,0.47949935743871397,0.0,0.0,5.573670827584736,25.955555555555556,0.20664869721473494
weighted_fair_queueing,2,600,844.9366581372926,2852.6362499999996,3281.8893000000003,732.6452446137141,2739.8512499999997,0.0695486111111111,0.013020833333333334,0.28336805555555555,0.36604166666666665,32.236493055555556,36.261006944444446,1.0273593853750167,0.42833333333333334,0.8840988133194825,0.5905497582100737,0.29092607556490635,0.16135246910249246,0.11813234605297208,0.03641367305240436,0.3683900510140906,0.46142357546287854,2.665,0.004958105649930789,3.571027530400235,24.858333333333334,0.22905585106382978
weighted_fair_queueing,4,45,686.3755131011497,2298.4855555555546,2677.527777777778,571.5793991172296,2186.379999999999,0.02314814814814815,0.002777777777777778,0.2287037037037037,0.25462962962962965,6.9074074074074066,7.222222222222222,1.0042916797569865,0.4666666666666667,0.8856821146144251,0.6004856652685309,0.2929015536298541,0.17238659482174098,0.058580310725970815,0.0281901105957667,0.33497319175307794,0.26123024883431917,0.0,0.0,3.6668326853957627,23.6,0.2222222222222222
weighted_fair_queueing,8,45,657.6262059875257,2297.4333333333325,2691.6944444444443,542.9644492631254,2185.0555555555547,0.02638888888888889,0.002777777777777778,0.1675925925925926,0.19675925925925924,4.12037037037037,4.453703703703703,1.005166999171909,0.4666666666666667,0.8987602779110383,0.6051896762404613,0.3004393106697173,0.17553043191560178,0.03004393106697173,0.02799315084423907,0.3185093468798402,0.21690932495742857,0.0,0.0,3.6440288245262,23.666666666666668,0.20515124288709194
