scheduler_policy,decision_interval_ns,trial_count,mean_remote_latency_ns,p95_remote_latency_ns,p99_remote_latency_ns,mean_queue_delay_ns,p95_queue_delay_ns,mean_positive_delay_fraction,mean_negative_speedup_fraction,mean_failure_transition_fraction,mean_observable_change_fraction,mean_signed_attacker_change_ns,mean_absolute_attacker_change_ns,mean_victim_slowdown_ratio_successful_only,victim_success_probability,tenant_success_fairness,tenant_wait_fairness,hub_utilization,link_utilization,communication_qubit_utilization,scheduler_reordering_rate,deadline_miss_fraction,mean_phase_boundary_visibility,mean_preemption_count,mean_epr_expiration_fraction,mean_queue_occupancy,mean_maximum_queue_occupancy,request_rejection_fraction
round_robin_tenants,20,645,794.7536270165282,2734.34976744186,3128.7405581395346,680.7790455950901,2620.2125581395344,0.0672157622739018,0.01986434108527132,0.2422157622739018,0.3293604651162791,28.53775839793282,37.87625968992248,1.025006084349717,0.4449612403100775,0.8908125458976388,0.6025244128306079,0.2953659448329339,0.16387283191122598,0.11772521154612353,0.03408182128765666,0.3512927392716342,0.4581179858854204,5.018604651162791,0.005991228188129033,3.678889100455878,24.609302325581396,0.21793681256319775
round_robin_tenants,100,45,1570.4944128660268,5253.934444444443,5877.283111111111,1455.2740069738502,5139.587777777778,0.006944444444444444,0.020833333333333332,0.48842592592592593,0.5162037037037037,-7.037037037037037,8.61111111111111,1.0,0.2,0.8023770897337811,0.6342924482702282,0.2481142774108508,0.1507187630179157,0.0992457109643403,0.06939186110414573,0.5247015175245725,0.31112879574456925,0.0,0.0,5.965360357149654,27.977777777777778,0.3468104222821204
shortest_operation_first,0,45,741.6255319586734,2688.017777777777,2949.9866666666667,626.7400944808165,2571.914444444444,0.006944444444444444,0.0,0.36342592592592593,0.3703703703703703,2.1550925925925926,2.1550925925925926,1.0,0.4888888888888889,0.8668146843985374,0.45421647584589875,0.28548806048878367,0.16990790247105386,0.11419522419551346,0.041955741726560095,0.3645835208961395,0.3730766632894293,0.0,0.0,2.930335548542938,24.4,0.24528301886792453
shortest_operation_first,20,645,801.3021283427826,2818.377209302325,3183.0371472868214,689.0574379469715,2702.298217054263,0.059560723514211884,0.01434108527131783,0.24793281653746768,0.3221899224806202,26.153036175710593,30.0593669250646,1.0295291887964904,0.4449612403100775,0.8908904480854881,0.536725128920661,0.29546921409332705,0.16399928209004286,0.11778147137812191,0.043407629371430355,0.3506063674719699,0.4368532208803125,2.6914728682170543,0.005486459730500741,3.6715909966461213,24.537984496124032,0.21872098062279452
shortest_operation_first,100,45,1548.3663558098015,5223.042222222221,5905.924,1433.1443246918423,5105.197777777777,0.015277777777777777,0.00462962962962963,0.48842592592592593,0.5083333333333333,1.1111111111111112,2.037037037037037,1.000640204865557,0.2222222222222222,0.8074127440704777,0.5007829166449941,0.25139686139920625,0.152682236913806,0.1005587445596825,0.07097414237962105,0.5160658329477115,0.3240307321640282,0.0,0.0,5.8592970796516335,27.977777777777778,0.33827493261455527
static_circuit_layer,0,45,1278.1771532047946,3629.6577777777775,3981.5099999999998,1163.7146561938505,3517.031111111111,0.03518518518518518,0.0,0.36018518518518516,0.39537037037037037,4.678333333333334,4.678333333333334,1.0056368899917287,0.26666666666666666,0.8379628976599288,0.5606481920005094,0.2652102075321165,0.15652672547060184,0.1060840830128466,0.05736461555363652,0.45188003350574507,0.3274749617061388,0.0,0.0,4.666278121262563,27.866666666666667,0.2973944294699012
static_circuit_layer,20,645,1367.6681844816067,3947.9882170542633,4424.983953488372,1255.1938889609573,3834.556821705426,0.08003875968992248,0.016375968992248063,0.27884366925064596,0.3752906976744186,64.81162466154815,73.70055435011065,1.062984506077699,0.29457364341085274,0.8430552160769721,0.6116790932681709,0.27101508425426396,0.14824597129870778,0.1070008194466059,0.05885543140232601,0.44280859294938824,0.4348005188404924,0.9178294573643411,0.01577282105340107,5.525116460172109,27.770542635658916,0.29030727006335255
static_circuit_layer,100,45,2066.1006355892787,5990.677777777778,6663.7444444444445,1951.2084450596014,5878.011111111111,0.10555555555555556,0.005092592592592592,0.5388888888888889,0.649537037037037,209.79377104377107,211.7382154882155,1.0315705304205443,0.2,0.7453470961761091,0.6171849291406375,0.2164600268267375,0.13125661250524037,0.086584010730695,0.08324492642835532,0.5914681595023151,0.4289922203400464,0.0,0.0,6.403503593212497,27.977777777777778,0.4302186283318359
weighted_fair_queueing,0,45,749.6931977975432,2444.6199999999994,2731.2928888888887,634.6649967445495,2332.6199999999994,0.012037037037037037,0.0004629629629629629,0.4217592592592593,0.4342592592592593,4.02962962962963,4.0472222222222225,1.0002811286862812,0.4888888888888889,0.8605707375570176,0.5045483383933048,0.2795284936485325,0.1681094196081938,0.11181139745941301,0.035547167132714795,0.3867371713429588,0.39515366430260046,0.0,0.0,2.864747898243699,24.4,0.2616052710392333
weighted_fair_queueing,20,645,783.0690563484084,2659.609224806201,3083.160310077519,670.6670054819167,2546.879379844961,0.07467700258397933,0.012790697674418604,0.23934108527131784,0.326905684754522,31.370381136950904,35.14777131782946,1.0324330803185668,0.44651162790697674,0.8935108333615855,0.5999514875947488,0.2961062092154491,0.16431376396060632,0.11812308903479615,0.03313598093309239,0.3505342229742744,0.4454603594855977,2.4790697674418603,0.0046121913022611994,3.610238629160288,24.57829457364341,0.21542953837264492
weighted_fair_queueing,100,45,1547.104948461591,5162.661111111111,5846.982222222223,1431.8751923270017,5049.216666666666,0.03194444444444444,0.00462962962962963,0.48842592592592593,0.525,5.416666666666667,6.527777777777778,0.98954600863404,0.2222222222222222,0.8059434467046537,0.5855122400715121,0.25024247000400807,0.15210674213131828,0.10009698800160323,0.06763262024814548,0.5146132117232687,0.32986778713934145,0.0,0.0,5.886731159968667,27.977777777777778,0.341120095837077
