configuration_id,subexperiment,mechanism,victim_qasm,victim_tag,trial_id,actual_path_before,actual_path_after,predicted_path_before,predicted_path_after,before_correct,after_correct,ground_truth_path_change,predicted_path_change,path_change_detection_correct
cfg_dac8f42d,state_transfer_cost,dynamic_victim_module_migration,square_root_n18.qasm,square_root_n18,1,0.0,,0.0,0,True,False,False,False,True
cfg_dac8f42d,state_transfer_cost,dynamic_victim_module_migration,square_root_n18.qasm,square_root_n18,2,0.0,,1.0,0,False,False,False,True,False
cfg_dac8f42d,state_transfer_cost,dynamic_victim_module_migration,qft_n18.qasm,qft_n18,0,0.0,,1.0,0,False,False,False,True,False
cfg_dac8f42d,state_transfer_cost,dynamic_victim_module_migration,qft_n18.qasm,qft_n18,1,0.0,,1.0,0,False,False,False,True,False
cfg_dac8f42d,state_transfer_cost,dynamic_victim_module_migration,qft_n18.qasm,qft_n18,2,0.0,,1.0,0,False,False,False,True,False
cfg_dac8f42d,state_transfer_cost,dynamic_victim_module_migration,dnn_n16.qasm,dnn_n16,0,0.0,0.0,1.0,0,False,True,False,True,False
cfg_dac8f42d,state_transfer_cost,dynamic_victim_module_migration,dnn_n16.qasm,dnn_n16,1,0.0,0.0,1.0,0,False,True,False,True,False
cfg_dac8f42d,state_transfer_cost,dynamic_victim_module_migration,dnn_n16.qasm,dnn_n16,2,0.0,0.0,1.0,0,False,True,False,True,False
cfg_dac8f42d,state_transfer_cost,dynamic_victim_module_migration,sat_n11.qasm,sat_n11,0,0.0,,1.0,0,False,False,False,True,False
cfg_dac8f42d,state_transfer_cost,dynamic_victim_module_migration,sat_n11.qasm,sat_n11,1,0.0,,1.0,0,False,False,False,True,False
cfg_dac8f42d,state_transfer_cost,dynamic_victim_module_migration,sat_n11.qasm,sat_n11,2,0.0,,1.0,0,False,False,False,True,False
cfg_dac8f42d,state_transfer_cost,dynamic_victim_module_migration,bv_n19.qasm,bv_n19,0,0.0,,0.0,0,True,False,False,False,True
cfg_dac8f42d,state_transfer_cost,dynamic_victim_module_migration,bv_n19.qasm,bv_n19,1,0.0,,1.0,0,False,False,False,True,False
cfg_dac8f42d,state_transfer_cost,dynamic_victim_module_migration,bv_n19.qasm,bv_n19,2,0.0,,1.0,0,False,False,False,True,False
cfg_03258620,state_transfer_cost,dynamic_victim_module_migration,square_root_n18.qasm,square_root_n18,0,0.0,,1.0,0,False,False,False,True,False
cfg_03258620,state_transfer_cost,dynamic_victim_module_migration,square_root_n18.qasm,square_root_n18,1,0.0,,0.0,0,True,False,False,False,True
cfg_03258620,state_transfer_cost,dynamic_victim_module_migration,square_root_n18.qasm,square_root_n18,2,0.0,,1.0,0,False,False,False,True,False
cfg_03258620,state_transfer_cost,dynamic_victim_module_migration,qft_n18.qasm,qft_n18,0,0.0,,1.0,0,False,False,False,True,False
cfg_03258620,state_transfer_cost,dynamic_victim_module_migration,qft_n18.qasm,qft_n18,1,0.0,,1.0,0,False,False,False,True,False
cfg_03258620,state_transfer_cost,dynamic_victim_module_migration,qft_n18.qasm,qft_n18,2,0.0,,1.0,0,False,False,False,True,False
cfg_03258620,state_transfer_cost,dynamic_victim_module_migration,dnn_n16.qasm,dnn_n16,0,0.0,0.0,1.0,0,False,True,False,True,False
cfg_03258620,state_transfer_cost,dynamic_victim_module_migration,dnn_n16.qasm,dnn_n16,1,0.0,0.0,1.0,0,False,True,False,True,False
cfg_03258620,state_transfer_cost,dynamic_victim_module_migration,dnn_n16.qasm,dnn_n16,2,0.0,0.0,1.0,0,False,True,False,True,False
cfg_03258620,state_transfer_cost,dynamic_victim_module_migration,sat_n11.qasm,sat_n11,0,0.0,,1.0,0,False,False,False,True,False
cfg_03258620,state_transfer_cost,dynamic_victim_module_migration,sat_n11.qasm,sat_n11,1,0.0,,1.0,0,False,False,False,True,False
cfg_03258620,state_transfer_cost,dynamic_victim_module_migration,sat_n11.qasm,sat_n11,2,0.0,,1.0,0,False,False,False,True,False
cfg_03258620,state_transfer_cost,dynamic_victim_module_migration,bv_n19.qasm,bv_n19,0,0.0,,0.0,0,True,False,False,False,True
cfg_03258620,state_transfer_cost,dynamic_victim_module_migration,bv_n19.qasm,bv_n19,1,0.0,,1.0,0,False,False,False,True,False
cfg_03258620,state_transfer_cost,dynamic_victim_module_migration,bv_n19.qasm,bv_n19,2,0.0,,1.0,0,False,False,False,True,False
cfg_e51880c9,state_transfer_cost,dynamic_victim_module_migration,square_root_n18.qasm,square_root_n18,0,0.0,,1.0,0,False,False,False,True,False
cfg_e51880c9,state_transfer_cost,dynamic_victim_module_migration,square_root_n18.qasm,square_root_n18,1,0.0,,0.0,0,True,False,False,False,True
cfg_e51880c9,state_transfer_cost,dynamic_victim_module_migration,square_root_n18.qasm,square_root_n18,2,0.0,,1.0,0,False,False,False,True,False
cfg_e51880c9,state_transfer_cost,dynamic_victim_module_migration,qft_n18.qasm,qft_n18,0,0.0,,1.0,0,False,False,False,True,False
cfg_e51880c9,state_transfer_cost,dynamic_victim_module_migration,qft_n18.qasm,qft_n18,1,0.0,,1.0,0,False,False,False,True,False
cfg_e51880c9,state_transfer_cost,dynamic_victim_module_migration,qft_n18.qasm,qft_n18,2,0.0,,1.0,0,False,False,False,True,False
cfg_e51880c9,state_transfer_cost,dynamic_victim_module_migration,dnn_n16.qasm,dnn_n16,0,0.0,0.0,1.0,0,False,True,False,True,False
cfg_e51880c9,state_transfer_cost,dynamic_victim_module_migration,dnn_n16.qasm,dnn_n16,1,0.0,0.0,1.0,0,False,True,False,True,False
cfg_e51880c9,state_transfer_cost,dynamic_victim_module_migration,dnn_n16.qasm,dnn_n16,2,0.0,0.0,1.0,0,False,True,False,True,False
cfg_e51880c9,state_transfer_cost,dynamic_victim_module_migration,sat_n11.qasm,sat_n11,0,0.0,,1.0,0,False,False,False,True,False
cfg_e51880c9,state_transfer_cost,dynamic_victim_module_migration,sat_n11.qasm,sat_n11,1,0.0,,1.0,0,False,False,False,True,False
cfg_e51880c9,state_transfer_cost,dynamic_victim_module_migration,sat_n11.qasm,sat_n11,2,0.0,,1.0,0,False,False,False,True,False
cfg_e51880c9,state_transfer_cost,dynamic_victim_module_migration,bv_n19.qasm,bv_n19,0,0.0,,0.0,0,True,False,False,False,True
cfg_e51880c9,state_transfer_cost,dynamic_victim_module_migration,bv_n19.qasm,bv_n19,1,0.0,,1.0,0,False,False,False,True,False
cfg_e51880c9,state_transfer_cost,dynamic_victim_module_migration,bv_n19.qasm,bv_n19,2,0.0,,1.0,0,False,False,False,True,False
cfg_90393b55,state_transfer_cost,dynamic_victim_module_migration,square_root_n18.qasm,square_root_n18,0,0.0,,1.0,0,False,False,False,True,False
cfg_90393b55,state_transfer_cost,dynamic_victim_module_migration,square_root_n18.qasm,square_root_n18,1,0.0,,0.0,0,True,False,False,False,True
cfg_90393b55,state_transfer_cost,dynamic_victim_module_migration,square_root_n18.qasm,square_root_n18,2,0.0,,1.0,0,False,False,False,True,False
cfg_90393b55,state_transfer_cost,dynamic_victim_module_migration,qft_n18.qasm,qft_n18,0,0.0,,1.0,0,False,False,False,True,False
