scenario_name,same_module,shared_components,shared_component_count,expected_mechanism,workload_name,trial_id,victim_phase_ns,probe_count,affected_probe_count,affected_probe_fraction,mean_excess_turnaround_ns,median_excess_turnaround_ns,p95_excess_turnaround_ns,max_excess_turnaround_ns,total_excess_turnaround_ns,attacker_baseline_mean_wait_ns,attacker_combined_mean_wait_ns,victim_request_count,victim_baseline_mean_latency_ns,victim_combined_mean_latency_ns,victim_mean_latency_slowdown,victim_baseline_makespan_ns,victim_combined_makespan_ns,victim_makespan_slowdown,max_causal_accounting_error_ns
shared_communication_qubit_only,True,communication_qubit,1,communication_qubit_reuse_wait,periodic_sparse,5,369.4024739605104,48,10,0.20833333333333334,23.83384874177304,0.0,153.40247396051072,174.4024739605104,1144.0247396051059,0.0,23.83384874177304,22,205.0,244.10807883433665,1.190771116265057,19105.0,19105.0,1.0,0.0
shared_interconnect_port_only,True,interconnect_port,1,interconnect_port_wait,periodic_sparse,5,369.4024739605104,48,7,0.14583333333333334,7.308694119241115,0.0,63.40247396051073,84.4024739605104,350.8173177235735,0.0,7.308694119241115,22,205.0,214.70841619258815,1.0473581277687227,19105.0,19105.0,1.0,0.0
shared_reset_engine_only,True,reset_engine,1,late_reset_recovery_wait,periodic_sparse,5,369.4024739605104,48,3,0.0625,1.2126546225318908,0.0,12.611608074331588,19.402473960510406,58.20742188153076,0.0,1.2126546225318908,22,205.0,205.0814808235668,1.0003974674320333,19105.0,19105.0,1.0,0.0
shared_endpoint_without_reset,True,local_route;communication_qubit;interconnect_port,3,active_endpoint_contention,periodic_sparse,5,369.4024739605104,48,10,0.20833333333333334,23.83384874177304,0.0,153.40247396051072,174.4024739605104,1144.0247396051059,0.0,23.83384874177304,22,205.0,244.10807883433665,1.190771116265057,19105.0,19105.0,1.0,0.0
shared_full_endpoint_pipeline,True,local_route;communication_qubit;interconnect_port;reset_engine,4,full_endpoint_pipeline_contention,periodic_sparse,5,369.4024739605104,48,10,0.20833333333333334,23.83384874177304,0.0,153.40247396051072,174.4024739605104,1144.0247396051059,0.0,23.83384874177304,22,205.0,244.10807883433665,1.190771116265057,19105.0,19105.0,1.0,0.0
separate_modules_control,False,none,0,no_cross_tenant_endpoint_contention,periodic_sparse,6,80.63443941845408,48,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,205.00000000000009,205.00000000000009,1.0,20005.0,20005.0,1.0,0.0
shared_module_fully_independent,True,none,0,module_colocation_without_pipeline_sharing,periodic_sparse,6,80.63443941845408,48,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,205.00000000000009,205.00000000000009,1.0,20005.0,20005.0,1.0,0.0
shared_local_route_only,True,local_route,1,local_route_wait,periodic_sparse,6,80.63443941845408,48,3,0.0625,1.2896524636533588,0.0,13.412385621994115,20.63443941845435,61.90331825536123,0.0,1.2896524636533588,23,205.00000000000009,205.00000000000009,1.0,20005.0,20005.0,1.0,0.0
shared_communication_qubit_only,True,communication_qubit,1,communication_qubit_reuse_wait,periodic_sparse,6,80.63443941845408,48,12,0.25,23.90860985461353,0.0,164.63443941845307,185.63443941845435,1147.6132730214495,0.0,23.90860985461353,23,205.00000000000009,247.95744201726123,1.2095484976451762,20005.0,20089.365560581547,1.0042172237231466,0.0
shared_interconnect_port_only,True,interconnect_port,1,interconnect_port_wait,periodic_sparse,6,80.63443941845408,48,6,0.125,8.204304927306717,0.0,74.63443941845308,95.63443941845435,393.80663651072246,0.0,8.204304927306717,23,205.00000000000009,214.45488010113854,1.0461213663470168,20005.0,20005.0,1.0,0.0
shared_reset_engine_only,True,reset_engine,1,late_reset_recovery_wait,periodic_sparse,6,80.63443941845408,48,3,0.0625,1.9146524636533588,0.0,19.9123856219941,30.63443941845435,91.90331825536123,0.0,1.9146524636533588,23,205.00000000000009,205.00000000000009,1.0,20005.0,20005.0,1.0,0.0
shared_endpoint_without_reset,True,local_route;communication_qubit;interconnect_port,3,active_endpoint_contention,periodic_sparse,6,80.63443941845408,48,12,0.25,23.90860985461353,0.0,164.63443941845307,185.63443941845435,1147.6132730214495,0.0,23.90860985461353,23,205.00000000000009,247.95744201726123,1.2095484976451762,20005.0,20089.365560581547,1.0042172237231466,0.0
shared_full_endpoint_pipeline,True,local_route;communication_qubit;interconnect_port;reset_engine,4,full_endpoint_pipeline_contention,periodic_sparse,6,80.63443941845408,48,12,0.25,23.90860985461353,0.0,164.63443941845307,185.63443941845435,1147.6132730214495,0.0,23.90860985461353,23,205.00000000000009,247.95744201726123,1.2095484976451762,20005.0,20089.365560581547,1.0042172237231466,0.0
separate_modules_control,False,none,0,no_cross_tenant_endpoint_contention,periodic_sparse,7,60.10050032288584,48,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,205.0,205.0,1.0,20005.0,20005.0,1.0,0.0
shared_module_fully_independent,True,none,0,module_colocation_without_pipeline_sharing,periodic_sparse,7,60.10050032288584,48,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,205.0,205.0,1.0,20005.0,20005.0,1.0,0.0
shared_local_route_only,True,local_route,1,local_route_wait,periodic_sparse,7,60.10050032288584,48,3,0.0625,0.006281270180352294,0.0,0.06532520987566372,0.1005003228856367,0.3015009686569101,0.0,0.006281270180352294,23,205.0,205.0,1.0,20005.0,20005.0,1.0,0.0
shared_communication_qubit_only,True,communication_qubit,1,communication_qubit_reuse_wait,periodic_sparse,7,60.10050032288584,48,9,0.1875,19.706343810541057,0.0,144.10050032288555,165.10050032288564,945.9045029059707,0.0,19.706343810541057,23,205.0,257.77802158470683,1.2574537638278382,20005.0,20109.899499677114,1.0052436640678388,0.0
shared_interconnect_port_only,True,interconnect_port,1,interconnect_port_wait,periodic_sparse,7,60.10050032288584,48,6,0.125,5.637562540360705,0.0,54.10050032288555,75.10050032288564,270.6030019373138,0.0,5.637562540360705,23,205.0,220.61721727899626,1.0761815477024208,20005.0,20019.899499677114,1.000744788786659,0.0
shared_reset_engine_only,True,reset_engine,1,late_reset_recovery_wait,periodic_sparse,7,60.10050032288584,48,3,0.0625,0.6312812701803523,0.0,6.565325209875649,10.100500322885637,30.30150096865691,0.0,0.6312812701803523,23,205.0,206.72165211775902,1.0083983030134587,20005.0,20005.0,1.0,0.0
shared_endpoint_without_reset,True,local_route;communication_qubit;interconnect_port,3,active_endpoint_contention,periodic_sparse,7,60.10050032288584,48,9,0.1875,19.706343810541057,0.0,144.10050032288555,165.10050032288564,945.9045029059707,0.0,19.706343810541057,23,205.0,257.77802158470683,1.2574537638278382,20005.0,20109.899499677114,1.0052436640678388,0.0
