scenario_name,workload_name,trial_id,probe_count,affected_probe_count,affected_probe_fraction,mean_excess_turnaround_ns,median_excess_turnaround_ns,p95_excess_turnaround_ns,max_excess_turnaround_ns,total_excess_turnaround_ns
shared_endpoint_without_reset,periodic_sparse,1,48,10,0.20833333333333334,23.062054016721095,0.0,155.69785928026093,176.6978592802625,1106.9785928026126
shared_endpoint_without_reset,periodic_sparse,2,48,9,0.1875,19.013525104359758,0.0,140.40546722325166,161.40546722325234,912.6492050092684
shared_endpoint_without_reset,periodic_sparse,3,48,12,0.25,23.45283087669149,0.0,162.81132350676543,183.8113235067667,1125.7358820811914
shared_endpoint_without_reset,periodic_sparse,4,48,9,0.1875,18.145404397464514,0.0,135.77549011981026,156.77549011981182,870.9794110782966
shared_endpoint_without_reset,periodic_sparse,5,48,10,0.20833333333333334,23.83384874177304,0.0,153.40247396051072,174.4024739605104,1144.0247396051059
shared_endpoint_without_reset,periodic_sparse,6,48,12,0.25,23.90860985461353,0.0,164.63443941845307,185.63443941845435,1147.6132730214495
shared_endpoint_without_reset,periodic_sparse,7,48,9,0.1875,19.706343810541057,0.0,144.10050032288555,165.10050032288564,945.9045029059707
shared_endpoint_without_reset,periodic_sparse,8,48,12,0.25,24.54323286028883,0.0,167.17293144115555,188.17293144115683,1178.0751772938638
shared_endpoint_without_reset,periodic_sparse,9,48,10,0.20833333333333334,15.852572888669906,0.0,121.0923498656153,142.0923498656157,760.9234986561555
shared_endpoint_without_reset,periodic_sparse,10,48,9,0.1875,15.764716700254136,0.0,123.07848906802178,144.07848906802246,756.7064016121985
shared_endpoint_without_reset,periodic_sparse,11,48,9,0.1875,15.155544614850479,0.0,119.82957127920243,140.82957127920326,727.466141512823
shared_full_endpoint_pipeline,layered_bursty,0,48,28,0.5833333333333334,153.71355655496154,101.19533483244231,496.3906696648845,555.0,7378.250714638154
shared_full_endpoint_pipeline,layered_bursty,1,48,27,0.5625,148.34088850612358,98.94152315335441,491.88304630670933,555.0,7120.362648293932
shared_full_endpoint_pipeline,layered_bursty,2,48,27,0.5625,149.95774762056004,105.0,448.29246386981674,555.0,7197.971885786882
shared_full_endpoint_pipeline,layered_bursty,3,48,28,0.5833333333333334,162.8139966792423,105.0,523.6919900377271,555.0,7815.07184060363
shared_full_endpoint_pipeline,layered_bursty,4,48,26,0.5416666666666666,146.34092255565142,94.71821413356338,483.43642826712664,555.0,7024.364282671268
shared_full_endpoint_pipeline,layered_bursty,5,48,27,0.5625,142.98253151932326,102.5929856743387,439.1859713486773,555.0,6863.161512927517
shared_full_endpoint_pipeline,layered_bursty,6,48,28,0.5833333333333334,159.19810254301362,105.0,512.844307629041,555.0,7641.508922064653
shared_full_endpoint_pipeline,layered_bursty,7,48,28,0.5833333333333334,154.81337171979007,102.84505757968509,499.69011515937007,555.0,7431.041842549923
shared_full_endpoint_pipeline,layered_bursty,8,48,28,0.5833333333333334,149.11805019727464,105.0,476.1929689194304,555.0,7157.666409469182
shared_full_endpoint_pipeline,layered_bursty,9,48,27,0.5625,151.73963610198345,105.0,453.32367840560056,555.0,7283.502532895206
shared_full_endpoint_pipeline,layered_bursty,10,48,28,0.5833333333333334,142.891599300977,100.46298770773137,460.4629877077314,555.0,6858.796766446896
shared_full_endpoint_pipeline,layered_bursty,11,48,28,0.5833333333333334,157.35042057825078,105.0,511.9887617347521,555.0,7552.820187756037
shared_full_endpoint_pipeline,periodic_dense,0,48,19,0.3958333333333333,39.615146052073875,0.0,157.97510581576654,177.97510581576762,1901.5270104995461
shared_full_endpoint_pipeline,periodic_dense,1,48,20,0.4166666666666667,41.2814420083462,0.0,169.07546082003074,189.07546082003137,1981.5092164006173
shared_full_endpoint_pipeline,periodic_dense,2,48,20,0.4166666666666667,40.60017982544662,0.0,167.4404315810722,187.4404315810716,1948.8086316214376
shared_full_endpoint_pipeline,periodic_dense,3,48,19,0.3958333333333333,37.65071912628659,0.0,155.11760621377712,175.1176062137779,1807.2345180617563
shared_full_endpoint_pipeline,periodic_dense,4,48,21,0.4375,46.111384590028955,0.0,173.01649811054205,193.01649811054267,2213.3464603213897
shared_full_endpoint_pipeline,periodic_dense,5,48,21,0.4375,39.653746082337555,0.0,164.92284818819977,184.9228481882019,1903.3798119522028
shared_full_endpoint_pipeline,periodic_dense,6,48,21,0.4375,40.229758711499095,0.0,165.28706753104683,185.28706753104598,1931.0284181519564
shared_full_endpoint_pipeline,periodic_dense,7,48,20,0.4166666666666667,38.93710311906539,0.0,163.44904748575692,183.44904748575755,1868.9809497151386
shared_full_endpoint_pipeline,periodic_dense,8,48,21,0.4375,44.75416348063999,0.0,174.67618319384442,194.67618319384383,2148.1998470707194
shared_full_endpoint_pipeline,periodic_dense,9,48,21,0.4375,42.87536663431542,0.0,172.28655230700662,192.2865523070068,2058.0175984471402
shared_full_endpoint_pipeline,periodic_dense,10,48,20,0.4166666666666667,39.50621597839183,0.0,164.81491834814065,184.8149183481405,1896.298366962808
shared_full_endpoint_pipeline,periodic_dense,11,48,20,0.4166666666666667,38.48125297708202,0.0,162.3550071449969,182.35500714499722,1847.100142899937
shared_full_endpoint_pipeline,periodic_sparse,0,48,10,0.20833333333333334,20.031337227121448,0.0,141.1504186901826,162.15041869018387,961.5041869018295
shared_full_endpoint_pipeline,periodic_sparse,1,48,10,0.20833333333333334,23.062054016721095,0.0,155.69785928026093,176.6978592802625,1106.9785928026126
shared_full_endpoint_pipeline,periodic_sparse,2,48,9,0.1875,19.013525104359758,0.0,140.40546722325166,161.40546722325234,912.6492050092684
shared_full_endpoint_pipeline,periodic_sparse,3,48,12,0.25,23.45283087669149,0.0,162.81132350676543,183.8113235067667,1125.7358820811914
shared_full_endpoint_pipeline,periodic_sparse,4,48,9,0.1875,18.145404397464514,0.0,135.77549011981026,156.77549011981182,870.9794110782966
shared_full_endpoint_pipeline,periodic_sparse,5,48,10,0.20833333333333334,23.83384874177304,0.0,153.40247396051072,174.4024739605104,1144.0247396051059
shared_full_endpoint_pipeline,periodic_sparse,6,48,12,0.25,23.90860985461353,0.0,164.63443941845307,185.63443941845435,1147.6132730214495
shared_full_endpoint_pipeline,periodic_sparse,7,48,9,0.1875,19.706343810541057,0.0,144.10050032288555,165.10050032288564,945.9045029059707
shared_full_endpoint_pipeline,periodic_sparse,8,48,12,0.25,24.54323286028883,0.0,167.17293144115555,188.17293144115683,1178.0751772938638
shared_full_endpoint_pipeline,periodic_sparse,9,48,10,0.20833333333333334,15.852572888669906,0.0,121.0923498656153,142.0923498656157,760.9234986561555
shared_full_endpoint_pipeline,periodic_sparse,10,48,9,0.1875,15.764716700254136,0.0,123.07848906802178,144.07848906802246,756.7064016121985
shared_full_endpoint_pipeline,periodic_sparse,11,48,9,0.1875,15.155544614850479,0.0,119.82957127920243,140.82957127920326,727.466141512823
shared_interconnect_port_only,layered_bursty,0,48,8,0.16666666666666666,6.544278277480771,0.0,62.140669664884605,82.39066966488463,314.125357319077
shared_interconnect_port_only,layered_bursty,1,48,9,0.1875,6.165571182508001,0.0,57.63304630670971,77.88304630670882,295.94741676038404
shared_interconnect_port_only,layered_bursty,2,48,9,0.1875,8.929836975590604,0.0,74.04246386981683,94.29246386981686,428.632174828349
shared_interconnect_port_only,layered_bursty,3,48,8,0.16666666666666666,7.656998339621111,0.0,44.441990037727145,94.69199003772701,367.53592030181335
shared_interconnect_port_only,layered_bursty,4,48,6,0.125,4.92955353339084,0.0,49.186428267126736,69.43642826712676,236.61856960276032
shared_interconnect_port_only,layered_bursty,5,48,9,0.1875,10.034869627877024,0.0,70.18597134867755,85.18597134867764,481.67374213809717
shared_interconnect_port_only,layered_bursty,6,48,10,0.20833333333333334,9.65506408938353,0.0,78.59430762904046,98.84430762904049,463.4430762904094
shared_interconnect_port_only,layered_bursty,7,48,8,0.16666666666666666,7.09418585989503,0.0,65.44011515937015,85.69011515937018,340.52092127496144
shared_interconnect_port_only,layered_bursty,8,48,11,0.22916666666666666,12.252555377369513,0.0,86.19296891943107,101.19296891943077,588.1226581137366
shared_interconnect_port_only,layered_bursty,9,48,9,0.1875,9.8731897010501,0.0,79.0736784056007,99.32367840560073,473.91310565040476
shared_interconnect_port_only,layered_bursty,10,48,9,0.1875,8.836810195199632,0.0,70.46298770773137,85.46298770773137,424.16688936958235
shared_interconnect_port_only,layered_bursty,11,48,10,0.20833333333333334,11.976825361406725,0.0,82.98876173475219,97.98876173475219,574.8876173475228
shared_interconnect_port_only,periodic_dense,0,48,11,0.22916666666666666,10.994295082779653,0.0,67.97510581576653,87.97510581576762,527.7261639734234
shared_interconnect_port_only,periodic_dense,1,48,10,0.20833333333333334,12.307387670839782,0.0,79.07546082003073,99.07546082003137,590.7546082003096
shared_interconnect_port_only,periodic_dense,2,48,10,0.20833333333333334,11.966756579389957,0.0,77.4404315810722,97.4404315810716,574.4043158107179
shared_interconnect_port_only,periodic_dense,3,48,11,0.22916666666666666,9.506118090657205,0.0,65.11760621377712,85.11760621377789,456.2936683515459
shared_interconnect_port_only,periodic_dense,4,48,13,0.2708333333333333,14.56696823827184,0.0,83.01649811054203,103.01649811054267,699.2144754370483
shared_interconnect_port_only,periodic_dense,5,48,10,0.20833333333333334,11.442260039208392,0.0,74.92284818819977,94.9228481882019,549.2284818820028
shared_interconnect_port_only,periodic_dense,6,48,10,0.20833333333333334,11.518139068967855,0.0,75.28706753104684,95.28706753104598,552.870675310457
shared_interconnect_port_only,periodic_dense,7,48,10,0.20833333333333334,11.135218226199356,0.0,73.4490474857569,93.44904748575755,534.4904748575691
shared_interconnect_port_only,periodic_dense,8,48,12,0.25,13.669045798460985,0.0,84.67618319384442,104.67618319384383,656.1141983261273
shared_interconnect_port_only,periodic_dense,9,48,12,0.25,13.071638076751668,0.0,82.28655230700663,102.28655230700679,627.4386276840801
shared_interconnect_port_only,periodic_dense,10,48,10,0.20833333333333334,11.419774655862577,0.0,74.81491834814065,94.81491834814051,548.1491834814037
shared_interconnect_port_only,periodic_dense,11,48,10,0.20833333333333334,10.907293155207697,0.0,72.3550071449969,92.35500714499722,523.5500714499694
shared_interconnect_port_only,periodic_sparse,0,48,6,0.125,5.268802336272851,0.0,51.150418690182605,72.15041869018387,252.90251214109685
shared_interconnect_port_only,periodic_sparse,1,48,6,0.125,7.087232410032641,0.0,65.69785928026093,86.69785928026249,340.18715568156676
shared_interconnect_port_only,periodic_sparse,2,48,6,0.125,5.175683402906505,0.0,50.40546722325167,71.40546722325234,248.43280333951225
shared_interconnect_port_only,periodic_sparse,3,48,6,0.125,7.976415438345725,0.0,72.81132350676545,93.81132350676671,382.8679410405948
shared_interconnect_port_only,periodic_sparse,4,48,6,0.125,4.596936264976326,0.0,45.77549011981026,66.77549011981182,220.65294071886365
shared_interconnect_port_only,periodic_sparse,5,48,7,0.14583333333333334,7.308694119241115,0.0,63.40247396051073,84.4024739605104,350.8173177235735
shared_interconnect_port_only,periodic_sparse,6,48,6,0.125,8.204304927306717,0.0,74.63443941845308,95.63443941845435,393.80663651072246
shared_interconnect_port_only,periodic_sparse,7,48,6,0.125,5.637562540360705,0.0,54.10050032288555,75.10050032288564,270.6030019373138
shared_interconnect_port_only,periodic_sparse,8,48,6,0.125,8.521616430144453,0.0,77.17293144115557,98.17293144115683,409.0375886469337
shared_interconnect_port_only,periodic_sparse,9,48,3,0.0625,3.255771866600971,0.0,33.86002741264983,52.09234986561569,156.2770495968466
shared_interconnect_port_only,periodic_sparse,10,48,3,0.0625,3.379905566751385,0.0,35.151017894213936,54.07848906802246,162.23546720406648
shared_interconnect_port_only,periodic_sparse,11,48,3,0.0625,3.1768482049501663,0.0,33.03922133148146,50.829571279203265,152.48871383760797
shared_local_route_only,layered_bursty,0,48,10,0.20833333333333334,23.73177827748077,0.0,152.1406696648846,225.0,1139.125357319077
shared_local_route_only,layered_bursty,1,48,10,0.20833333333333334,23.9180077177849,0.0,147.6330463067097,225.0,1148.064370453675
shared_local_route_only,layered_bursty,2,48,13,0.2708333333333333,24.912542298075294,0.0,154.29246386981654,229.29246386981595,1195.8020303076141
shared_local_route_only,layered_bursty,3,48,14,0.2916666666666667,30.43099709433695,0.0,179.44199003772698,244.69199003772724,1460.6878605281736
shared_local_route_only,layered_bursty,4,48,9,0.1875,22.62614578895598,0.0,139.18642826712673,225.0,1086.054997869887
shared_local_route_only,layered_bursty,5,48,10,0.20833333333333334,19.40986962787702,0.0,129.43597134867736,225.0,931.6737421380969
shared_local_route_only,layered_bursty,6,48,13,0.2708333333333333,27.395333316198606,0.0,168.59430762904046,233.8443076290423,1314.9759991775331
shared_local_route_only,layered_bursty,7,48,10,0.20833333333333334,24.28168585989503,0.0,155.44011515937015,225.0,1165.5209212749614
shared_local_route_only,layered_bursty,8,48,12,0.25,23.423242229857717,0.0,145.44296891943108,236.19296891943122,1124.3156270331704
shared_local_route_only,layered_bursty,9,48,13,0.2708333333333333,26.27516290151674,0.0,159.3236784056001,234.32367840560073,1261.2078192728036
shared_local_route_only,layered_bursty,10,48,10,0.20833333333333334,19.774310195199632,0.0,129.71298770773132,225.0,949.1668893695823
shared_local_route_only,layered_bursty,11,48,13,0.2708333333333333,25.601122969828747,0.0,167.73876173475216,232.9887617347522,1228.8539025517798
shared_local_route_only,periodic_dense,0,48,2,0.041666666666666664,0.5406294089902701,0.0,0.0,12.97510581576762,25.950211631532966
shared_local_route_only,periodic_dense,1,48,4,0.08333333333333333,1.1729550683359093,0.0,4.07546082003073,24.075460820031367,56.30184328012365
shared_local_route_only,periodic_dense,2,48,4,0.08333333333333333,1.0367026317559862,0.0,2.440431581072198,22.440431581071607,49.76172632428734
shared_local_route_only,periodic_dense,3,48,2,0.041666666666666664,0.42156692557405034,0.0,0.0,10.11760621377789,20.235212427554416
shared_local_route_only,periodic_dense,4,48,4,0.08333333333333333,1.5013748425451372,0.0,8.016498110542035,28.01649811054267,72.06599244216659
shared_local_route_only,periodic_dense,5,48,2,0.041666666666666664,0.8301186745083745,0.0,0.0,19.922848188201897,39.845696376401975
shared_local_route_only,periodic_dense,6,48,4,0.08333333333333333,0.8572556275871648,0.0,0.2870675310468414,20.287067531045977,41.14827012418391
shared_local_route_only,periodic_dense,7,48,2,0.041666666666666664,0.7687103119065549,0.0,0.0,18.449047485757546,36.89809497151464
shared_local_route_only,periodic_dense,8,48,4,0.08333333333333333,1.6396819328202998,0.0,9.676183193844418,29.676183193843826,78.7047327753744
shared_local_route_only,periodic_dense,9,48,4,0.08333333333333333,1.4405460255838893,0.0,7.286552307006628,27.286552307006787,69.14620922802669
shared_local_route_only,periodic_dense,10,48,2,0.041666666666666664,0.8256215978391784,0.0,0.0,19.81491834814051,39.62983669628056
shared_local_route_only,periodic_dense,11,48,2,0.041666666666666664,0.7231252977082173,0.0,0.0,17.355007144997217,34.71001428999443
shared_local_route_only,periodic_sparse,0,48,0,0.0,0.0,0.0,0.0,0.0,0.0
