scheduler_policy,tenant_count,trial_count,mean_remote_latency_ns,p95_remote_latency_ns,p99_remote_latency_ns,mean_queue_delay_ns,p95_queue_delay_ns,mean_positive_delay_fraction,mean_negative_speedup_fraction,mean_failure_transition_fraction,mean_observable_change_fraction,mean_signed_attacker_change_ns,mean_absolute_attacker_change_ns,mean_victim_slowdown_ratio_successful_only,victim_success_probability,tenant_success_fairness,tenant_wait_fairness,hub_utilization,link_utilization,communication_qubit_utilization,scheduler_reordering_rate,deadline_miss_fraction,mean_phase_boundary_visibility,mean_preemption_count,mean_epr_expiration_fraction,mean_queue_occupancy,mean_maximum_queue_occupancy,request_rejection_fraction
longest_waiting_first,2,60,988.1421432815586,2439.8749999999995,2639.925,876.3908597039971,2326.5499999999997,0.07395833333333333,0.0,0.23333333333333334,0.3072916666666667,162.125,162.125,1.014087718673175,0.45,0.8930482606165806,0.5929965981830314,0.21074802776217585,0.08791868150407492,0.08579489095389956,0.023416676232412722,0.42878568372149883,0.37817741753911965,0.0,0.0,3.065024621714541,24.3,0.2615313653136531
longest_waiting_first,3,60,858.8772348963645,2433.7508333333326,2671.936833333333,745.3830272817893,2320.3216666666663,0.07430555555555556,0.005208333333333333,0.2503472222222222,0.3298611111111111,198.44444444444443,199.26388888888889,1.0152159013538369,0.43333333333333335,0.8773981532634281,0.6501027794518038,0.2444607665023954,0.11744859181680753,0.10075155479770924,0.02241824591293296,0.39856447427221275,0.43708346644516854,0.0,0.0,3.1558368843565137,24.716666666666665,0.2367601246105919
longest_waiting_first,4,555,801.4408794465265,2525.4498198198194,2849.1277117117115,688.271828429889,2412.4897297297293,0.0710960960960961,0.010247747747747747,0.281981981981982,0.3635135135135135,44.918168168168165,48.425375375375374,1.0063141120340673,0.436036036036036,0.8813047392959013,0.5629903049754929,0.2883832480830961,0.16801746480988275,0.11335184582616178,0.026692705382060887,0.3696431447958962,0.4763440709551222,5.481081081081081,0.005143802512480254,3.5858827340326473,24.634234234234235,0.23300794055511037
longest_waiting_first,8,60,787.5154061020093,2259.5474999999997,2702.099833333333,672.7267901472511,2145.3474999999994,0.1847222222222222,0.011111111111111112,0.2420138888888889,0.4378472222222222,388.66111111111115,393.4527777777778,1.0040352361619578,0.4,0.9097418996930057,0.7238715978981579,0.44733802461554256,0.24279637100407855,0.18824289117175397,0.014692535906586042,0.3501355282693311,0.5506987699015089,0.0,0.0,5.127678572344194,25.666666666666668,0.1768096906012843
priority_scheduling,2,60,988.1421432815586,2439.8749999999995,2639.925,876.3908597039971,2326.5499999999997,0.07395833333333333,0.0,0.23333333333333334,0.3072916666666667,162.125,162.125,1.014087718673175,0.45,0.8930482606165806,0.5929965981830314,0.21074802776217585,0.08791868150407492,0.08579489095389956,0.023416676232412722,0.42878568372149883,0.37817741753911965,0.0,0.0,3.065024621714541,24.3,0.2615313653136531
priority_scheduling,3,60,858.8772348963645,2433.7508333333326,2671.936833333333,745.3830272817893,2320.3216666666663,0.07430555555555556,0.005208333333333333,0.2503472222222222,0.3298611111111111,198.44444444444443,199.26388888888889,1.0152159013538369,0.43333333333333335,0.8773981532634281,0.6501027794518038,0.2444607665023954,0.11744859181680753,0.10075155479770924,0.02241824591293296,0.39856447427221275,0.43708346644516854,0.0,0.0,3.1558368843565137,24.716666666666665,0.2367601246105919
priority_scheduling,4,555,799.140695323323,2523.798828828828,2865.7476216216214,685.7788616987856,2410.3147747747744,0.06813063063063063,0.00975975975975976,0.27334834834834837,0.3513138138138138,44.62289789789789,47.60570570570571,1.0072336446801382,0.436036036036036,0.8839609449097874,0.559827078170054,0.28955618033250985,0.16853212323359756,0.11382101872592726,0.02673545498057296,0.3672687440884784,0.4602454284735009,4.8108108108108105,0.0048633189988559105,3.5899963965712454,24.643243243243244,0.22987542798863553
priority_scheduling,8,60,787.5154061020093,2259.5474999999997,2702.099833333333,672.7267901472511,2145.3474999999994,0.1847222222222222,0.011111111111111112,0.2420138888888889,0.4378472222222222,388.66111111111115,393.4527777777778,1.0040352361619578,0.4,0.9097418996930057,0.7238715978981579,0.44733802461554256,0.24279637100407855,0.18824289117175397,0.014692535906586042,0.3501355282693311,0.5506987699015089,0.0,0.0,5.127678572344194,25.666666666666668,0.1768096906012843
randomized_arbitration,2,60,997.2019075913229,2703.4249999999997,2965.6375,885.4509607140982,2589.5124999999994,0.0638888888888889,0.0,0.23333333333333334,0.2972222222222222,34.895833333333336,34.895833333333336,1.043489560847964,0.45,0.893005350770471,0.5289480354979729,0.21079216193004618,0.08793633517122305,0.08581254462104769,0.042503676901051106,0.4211963088615848,0.3695354422304777,0.0,0.0,3.0854469814180536,24.3,0.2613776137761378
randomized_arbitration,3,60,865.2754839522566,2732.395833333333,3064.5024999999996,751.7822684011736,2617.9666666666662,0.06736111111111112,0.005555555555555555,0.2503472222222222,0.32326388888888885,52.11805555555556,52.78472222222222,1.043712175459289,0.43333333333333335,0.8774642226115026,0.6199347555831604,0.24450121957682908,0.117464773046581,0.10076773602748271,0.03894616926873994,0.38203559068013965,0.4197995158278846,0.0,0.0,3.1756636989313214,24.716666666666665,0.23663032191069575
randomized_arbitration,4,555,834.9646829968086,2947.2165765765762,3417.034504504504,718.1487769296655,2827.5823423423417,0.06051051051051051,0.012087087087087087,0.2634009009009009,0.33637387387387385,18.656343843843846,21.81325075075075,1.0203445536426776,0.436036036036036,0.883335763633071,0.6169846571184574,0.29030203794437115,0.1686311996788828,0.11406244700316436,0.040828239262569406,0.36064174619677464,0.44171149576733443,15.394594594594595,0.006878419356653633,3.7912448281908535,24.745945945945945,0.22949904081979552
