profile_name,qaoa_label,num_qubits,trial_count,mean_baseline_waiting_ns,max_baseline_waiting_ns,mean_raw_excess_latency_ns,std_raw_excess_latency_ns,mean_thresholded_excess_latency_ns,std_thresholded_excess_latency_ns,mean_detected_contention_fraction,std_detected_contention_fraction
scheduler_20ns,qaoa_n6,6,10,0.0,0.0,217.76458333333335,4.281564544180976,217.76458333333335,4.281564544180976,0.17708333333333331,0.014731391274719743
scheduler_20ns,qaoa_n7,7,10,0.0,0.0,209.62083333333334,4.991145709536752,209.62083333333334,4.991145709536752,0.16875,0.006588078458684127
scheduler_20ns,qaoa_n8,8,10,0.0,0.0,203.11041666666668,3.385458333076928,203.11041666666668,3.385458333076928,0.17083333333333334,0.008784104611578839
scheduler_20ns,qaoa_n9,9,10,0.0,0.0,372.15,5.723155937844871,372.15,5.723155937844871,0.22916666666666666,0.0
scheduler_5ns,qaoa_n10,10,10,0.0,0.0,268.525,1.8992465205125513,268.525,1.8992465205125513,0.20833333333333334,0.0
scheduler_5ns,qaoa_n11,11,10,0.0,0.0,450.9104166666667,1.877032077854893,450.9104166666667,1.877032077854893,0.2708333333333333,0.0
scheduler_5ns,qaoa_n12,12,10,0.0,0.0,174.01875,2.353059187224208,174.01875,2.353059187224208,0.16666666666666666,0.0
scheduler_5ns,qaoa_n13,13,10,0.0,0.0,434.2625,1.1277914613291267,434.2625,1.1277914613291267,0.2708333333333333,0.0
scheduler_5ns,qaoa_n14,14,10,0.0,0.0,420.2270833333333,2.3669953230980125,420.2270833333333,2.3669953230980125,0.2708333333333333,0.0
scheduler_5ns,qaoa_n15,15,10,0.0,0.0,545.425,1.9227760923296517,545.425,1.9227760923296517,0.2916666666666667,0.0
scheduler_5ns,qaoa_n5,5,10,0.0,0.0,97.02708333333334,0.5905677392387986,97.02708333333334,0.5905677392387986,0.125,0.0
scheduler_5ns,qaoa_n6,6,10,0.0,0.0,217.80208333333334,1.7641964408166484,217.80208333333334,1.7641964408166484,0.16666666666666666,0.0
scheduler_5ns,qaoa_n7,7,10,0.0,0.0,209.53541666666666,1.4774882887923355,209.53541666666666,1.4774882887923355,0.16666666666666666,0.0
scheduler_5ns,qaoa_n8,8,10,0.0,0.0,206.33125,1.446661292979433,206.33125,1.446661292979433,0.16666666666666666,0.0
scheduler_5ns,qaoa_n9,9,10,0.0,0.0,373.1020833333333,1.8869334751958753,373.1020833333333,1.8869334751958753,0.22916666666666666,0.0
timestamp_20ns,qaoa_n10,10,10,0.0,0.0,270.92093454942,5.684633827093159,270.18691533145955,2.648964107795936,0.2104166666666667,0.006588078458684124
timestamp_20ns,qaoa_n11,11,10,0.0,0.0,452.1773686957091,3.730327764727362,450.8644627909981,2.370270631807895,0.25,0.0
timestamp_20ns,qaoa_n12,12,10,0.0,0.0,173.3017393757939,4.858914673961747,174.67738759113624,2.587471146576801,0.17083333333333334,0.008784104611578834
timestamp_20ns,qaoa_n13,13,10,0.0,0.0,433.82469128032716,2.6806428059309364,432.81890235902193,1.3971296809892104,0.25416666666666665,0.00878410461157883
timestamp_20ns,qaoa_n14,14,10,0.0,0.0,419.69838521182874,3.5076064205408435,420.2590076371465,2.300751348780193,0.2520833333333333,0.006588078458684102
timestamp_20ns,qaoa_n15,15,10,0.0,0.0,547.414284715316,3.931218357855623,546.1383111197554,1.5862803381233044,0.2979166666666667,0.014061428285636505
timestamp_20ns,qaoa_n5,5,10,0.0,0.0,96.37391612154201,3.684085022787361,96.81174640952857,1.7169104827745503,0.10625,0.0065880784586841235
timestamp_20ns,qaoa_n6,6,10,0.0,0.0,220.2752402903514,2.8617393984574133,218.39662164522792,1.6626503529804637,0.16666666666666666,0.0
timestamp_20ns,qaoa_n7,7,10,0.0,0.0,213.26284460466044,5.13585758880038,212.64014630616776,1.4588080524221707,0.16875,0.006588078458684131
timestamp_20ns,qaoa_n8,8,10,0.0,0.0,208.83478265641423,5.096220835615921,207.69823453966637,1.8682354198983233,0.16875,0.006588078458684126
timestamp_20ns,qaoa_n9,9,10,0.0,0.0,375.12914613680834,4.735516883999643,373.5466559222706,2.1292127609321785,0.23125,0.006588078458684127
timestamp_5ns,qaoa_n10,10,10,0.0,0.0,269.934212202253,0.9798057738603575,269.98315101670534,0.5050317607218237,0.2104166666666667,0.006588078458684117
timestamp_5ns,qaoa_n11,11,10,0.0,0.0,452.1806258189922,0.7602102806802074,452.5237309071948,0.39842277228337963,0.2708333333333333,0.0
timestamp_5ns,qaoa_n12,12,10,0.0,0.0,174.44723007715385,0.8872005596524485,174.4963987298825,0.5474634440861691,0.16875,0.006588078458684126
timestamp_5ns,qaoa_n13,13,10,0.0,0.0,434.75759559701225,0.919521038632157,434.8520961494163,0.5022551750651032,0.2708333333333333,0.0
timestamp_5ns,qaoa_n14,14,10,0.0,0.0,420.49616747877934,1.0399030435267602,420.6360179398704,0.7985686730357108,0.27291666666666664,0.006588078458684137
timestamp_5ns,qaoa_n15,15,10,0.0,0.0,545.1623886260321,1.198942385828166,545.3337761387136,0.5358140656983561,0.2916666666666667,0.0
timestamp_5ns,qaoa_n5,5,10,0.0,0.0,97.08640936853666,1.0701951782140515,96.88146817997205,0.46136522775914124,0.11875,0.010063456073742663
timestamp_5ns,qaoa_n6,6,10,0.0,0.0,217.75216653782763,1.1638270597348146,218.12686427334717,0.5881930013834664,0.16875,0.006588078458684127
timestamp_5ns,qaoa_n7,7,10,0.0,0.0,211.7955476681872,1.4026217008209234,211.47436650939144,0.49564718657984136,0.16875,0.006588078458684127
timestamp_5ns,qaoa_n8,8,10,0.0,0.0,207.00426563148676,1.1486349036907595,206.70057582028068,0.4900200832063166,0.16666666666666666,0.0
timestamp_5ns,qaoa_n9,9,10,0.0,0.0,373.8999515213735,1.0747989827478723,373.4317442727305,0.5864517307906072,0.22916666666666666,0.0
