trace_id,scenario_name,scenario_family,link_capacity,shared_backend_components,backend_capacity,workload_name,trial_id,victim_phase_ns,mean_excess_ns,std_excess_ns,p95_excess_ns,max_excess_ns,affected_fraction,positive_mean_ns,longest_affected_run,affected_gap_cv,autocorr_lag1,segment1_mean_ns,segment2_mean_ns,segment3_mean_ns
isolated_backend_link2::synchronization_bursty::trial9,isolated_backend_link2,isolated_backend,2,,1,synchronization_bursty,9,357.20102251331497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shared_conditional_control_capacity1_link1::dense_periodic::trial0,shared_conditional_control_capacity1_link1,conditional_control,1,conditional_control_engine,1,dense_periodic,0,176.3217694043617,9.40943012976222,19.26762648567553,54.4499918825793,76.64597743749255,0.2708333333333333,34.742511248352805,4.0,1.0029700095098582,0.38990768369470785,7.84985164725191,7.5046715807355895,12.873767161299156
shared_conditional_control_capacity1_link1::dense_periodic::trial1,shared_conditional_control_capacity1_link1,conditional_control,1,conditional_control_engine,1,dense_periodic,1,441.1257097459797,10.406932240716607,20.15860390673797,56.62746205506896,78.87759001521954,0.3125,33.30218317029314,4.0,0.9445896079304538,0.35171016082836165,11.171136851712781,15.836860734417542,4.212799136019498
shared_conditional_control_capacity1_link1::dense_periodic::trial2,shared_conditional_control_capacity1_link1,conditional_control,1,conditional_control_engine,1,dense_periodic,2,612.5992388755034,7.984191664621544,17.122158543691697,49.37212930082555,69.96283702216488,0.25,31.936766658486174,3.0,0.9573412667997164,0.33437301702430244,8.006431393480455,6.177316488941528,9.768827111442647
shared_conditional_control_capacity1_link1::dense_periodic::trial3,shared_conditional_control_capacity1_link1,conditional_control,1,conditional_control_engine,1,dense_periodic,3,488.3481337513038,6.5506095065562135,15.685169069959795,45.39086504128863,68.06653798397747,0.20833333333333334,31.442925631469826,3.0,0.8559713666995048,0.264415591921099,3.7814134102889057,7.352130381770337,8.518284727609398
shared_conditional_control_capacity1_link1::dense_periodic::trial4,shared_conditional_control_capacity1_link1,conditional_control,1,conditional_control_engine,1,dense_periodic,4,481.6688238878753,7.40521317371137,17.083343537679173,47.889881206390314,73.55788684025902,0.22916666666666666,32.31365748528597,4.0,0.9100850771468728,0.32501294798338415,3.0422300422592343,12.71926046481326,6.454149014061613
shared_conditional_control_capacity1_link1::dense_periodic::trial5,shared_conditional_control_capacity1_link1,conditional_control,1,conditional_control_engine,1,dense_periodic,5,372.037539820366,7.811249336359732,16.980595571432534,47.44339208396742,71.16524831601782,0.2708333333333333,28.841536011174394,4.0,1.0029700095098582,0.32153680120805406,6.341679732398134,9.095907243933084,7.9961610327479775
shared_conditional_control_capacity1_link1::dense_periodic::trial6,shared_conditional_control_capacity1_link1,conditional_control,1,conditional_control_engine,1,dense_periodic,6,314.28699693015824,11.663224396213613,21.533494577688923,59.87548827238233,81.46394416734984,0.3333333333333333,34.989673188640836,4.0,1.0396479452673484,0.4671801361649322,12.645640574434083,7.156353038056523,15.18767957615023
shared_conditional_control_capacity1_link1::dense_periodic::trial7,shared_conditional_control_capacity1_link1,conditional_control,1,conditional_control_engine,1,dense_periodic,7,119.58153997500267,7.590992370134548,16.8200874970123,46.4153382634371,72.29172816894061,0.25,30.36396948053819,4.0,0.9617692030835673,0.33198918565644514,4.062900692062385,7.661129077912847,11.048947340428413
shared_conditional_control_capacity1_link1::dense_periodic::trial8,shared_conditional_control_capacity1_link1,conditional_control,1,conditional_control_engine,1,dense_periodic,8,556.2680291509504,9.278161549308086,19.065132009493233,50.888729489214654,78.90820716193593,0.2916666666666667,31.810839597627723,4.0,1.0127393670836666,0.39317920010173546,7.089216146702057,13.585329099820342,7.159939401401857
shared_conditional_control_capacity1_link1::dense_periodic::trial9,shared_conditional_control_capacity1_link1,conditional_control,1,conditional_control_engine,1,dense_periodic,9,375.2739359332206,9.092270790407072,18.808480332014156,53.201022480632055,75.47643616330606,0.2708333333333333,33.571461379964575,4.0,1.0029700095098582,0.37520375047994603,7.619490509148569,10.493940011517225,9.163381850555425
shared_conditional_control_capacity1_link1::sparse_periodic::trial0,shared_conditional_control_capacity1_link1,conditional_control,1,conditional_control_engine,1,sparse_periodic,0,480.71560829821397,4.336902512997237,13.037032558243103,39.77572725557461,52.69125821495618,0.125,34.695220103977896,2.0,1.0272053760058488,0.21759515357964246,4.34087970821065,4.270920553911537,4.398907276869522
shared_conditional_control_capacity1_link1::sparse_periodic::trial1,shared_conditional_control_capacity1_link1,conditional_control,1,conditional_control_engine,1,sparse_periodic,1,630.4463403419877,3.9329610813357854,13.336062705698236,20.458843226466975,78.58371070053909,0.125,31.463688650686283,3.0,0.986062036131777,0.35685939470762745,1.137608360847139,1.134691010874235,9.526583872285983
shared_conditional_control_capacity1_link1::sparse_periodic::trial2,shared_conditional_control_capacity1_link1,conditional_control,1,conditional_control_engine,1,sparse_periodic,2,184.0725379784687,4.712647744048657,13.919765502601066,42.878565771322016,55.67235878456995,0.125,37.701181952389256,2.0,1.0272053760058488,0.24327319528057104,4.699429115474231,4.666969268600496,4.771544848071244
shared_conditional_control_capacity1_link1::sparse_periodic::trial3,shared_conditional_control_capacity1_link1,conditional_control,1,conditional_control_engine,1,sparse_periodic,3,317.15754733141074,6.631426895172457,17.485185974056055,54.83603669055287,69.58540500605523,0.1875,35.367610107586444,2.0,1.1072015700875824,0.2959695418555753,6.958325746303359,6.467631793398311,6.4683231458157024
shared_conditional_control_capacity1_link1::sparse_periodic::trial4,shared_conditional_control_capacity1_link1,conditional_control,1,conditional_control_engine,1,sparse_periodic,4,371.10561707714817,5.533400900847302,15.587291275022206,48.417065113775266,63.282269087618715,0.1875,29.51147147118561,2.0,1.1072015700875824,0.27676989959404125,5.9657293802158335,5.332652105903833,5.3018212164222405
shared_conditional_control_capacity1_link1::sparse_periodic::trial5,shared_conditional_control_capacity1_link1,conditional_control,1,conditional_control_engine,1,sparse_periodic,5,485.8776153986558,4.855560704328847,14.26163095625597,43.98415390690943,57.431498661224396,0.125,38.84448563463078,2.0,1.0272053760058488,0.25198540736204894,4.761178726054027,4.9914373326530495,4.814066054279465
shared_conditional_control_capacity1_link1::sparse_periodic::trial6,shared_conditional_control_capacity1_link1,conditional_control,1,conditional_control_engine,1,sparse_periodic,6,546.1810346387633,4.735779708941247,13.982870195363185,42.41440219905976,56.843556966021424,0.125,37.886237671529976,2.0,1.0272053760058488,0.24501250999558793,4.79051810973408,4.917944620752678,4.498876396336982
shared_conditional_control_capacity1_link1::sparse_periodic::trial7,shared_conditional_control_capacity1_link1,conditional_control,1,conditional_control_engine,1,sparse_periodic,7,609.4099524431582,5.271219593777573,15.2479466339478,46.412499674084074,61.14925123362991,0.14583333333333334,36.14550578590336,2.0,1.0800431640505295,0.273742684491383,5.357347941852595,4.977934950444933,5.478375889035192
