trace_id,probe_index,release_ns,attacker_only_completion_ns,combined_completion_ns,attacker_only_turnaround_ns,combined_turnaround_ns,excess_turnaround_ns,affected
isolated_backend_link1::sparse_periodic::trial2,18,7590.0,7855.0,7855.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial2,19,8010.0,8275.0,8275.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial2,20,8430.0,8695.0,8695.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial2,21,8850.0,9115.0,9115.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial2,22,9270.0,9535.0,9535.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial2,23,9690.0,9955.0,9955.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial2,24,10110.0,10375.0,10429.835754148804,265.0,319.83575414880397,54.83575414880397,True
isolated_backend_link1::sparse_periodic::trial2,25,10530.0,10795.0,10814.835754148804,265.0,284.83575414880397,19.83575414880397,True
isolated_backend_link1::sparse_periodic::trial2,26,10950.0,11215.0,11215.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial2,27,11370.0,11635.0,11635.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial2,28,11790.0,12055.0,12055.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial2,29,12210.0,12475.0,12475.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial2,30,12630.0,12895.0,12895.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial2,31,13050.0,13315.0,13315.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial2,32,13470.0,13735.0,13735.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial2,33,13890.0,14155.0,14155.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial2,34,14310.0,14575.0,14575.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial2,35,14730.0,14995.0,14995.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial2,36,15150.0,15415.0,15415.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial2,37,15570.0,15835.0,15835.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial2,38,15990.0,16255.0,16255.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial2,39,16410.0,16675.0,16730.67235878457,265.0,320.67235878456995,55.67235878456995,True
isolated_backend_link1::sparse_periodic::trial2,40,16830.0,17095.0,17115.67235878457,265.0,285.67235878456995,20.67235878456995,True
isolated_backend_link1::sparse_periodic::trial2,41,17250.0,17515.0,17515.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial2,42,17670.0,17935.0,17935.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial2,43,18090.0,18355.0,18355.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial2,44,18510.0,18775.0,18775.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial2,45,18930.0,19195.0,19195.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial2,46,19350.0,19615.0,19615.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial2,47,19770.0,20035.0,20035.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial3,0,30.0,295.0,295.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial3,1,450.0,715.0,715.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial3,2,870.0,1135.0,1135.0,265.0,265.0,0.0,False
