subexperiment,allocation_policy,communication_qubits_per_module,trial_count,successful_victim_trial_count,victim_failure_rate,mean_positive_delay_detection_probability,mean_negative_speedup_detection_probability,mean_signed_timing_change_probability,mean_failure_only_detection_probability,mean_delay_or_failure_detection_probability,mean_signed_timing_or_failure_detection_probability,mean_full_observable_change_probability,mean_signed_turnaround_change_ns,mean_absolute_turnaround_change_ns,mean_total_absolute_turnaround_change_ns,mean_signed_cq_queue_change_ns,mean_absolute_cq_queue_change_ns,mean_successful_victim_slowdown_ratio,max_successful_victim_slowdown_ratio,mean_request_failure_rate,mean_cq_service_utilization,mean_cq_reset_occupancy_fraction,mean_cq_reservation_occupancy_fraction,mean_cq_allocation_hold_fraction,mean_aggregate_resource_demand_nonphysical,fraction_aggregate_resource_demand_exceeds_one,mean_epr_unused_fraction,total_epr_prefetched_pairs,total_epr_used_pairs,total_epr_unused_pairs,mean_grant_fairness,mean_inverse_wait_fairness,successful_victim_trial_fraction,aggregate_epr_unused_fraction
epr_coordination_granularity,random_allocation,2,180,130,0.2777777777777778,0.001736111111111111,0.01261574074074074,0.014351851851851853,0.0,0.001736111111111111,0.014351851851851853,0.20555555555555555,-0.6206018518518518,0.8034722222222223,38.56666666666667,-0.07662037037037037,0.0974537037037037,1.152710439830935,1.5423658155289213,0.075935844050882,0.12110628646675439,0.05926316175675419,0.48650426404361796,0.05735311567000397,0.7242268279371306,0.05555555555555555,0.34905213432600757,25462,7662,8676,0.7564081630183924,0.2586954250511041,0.7222222222222222,0.3407430681014846
epr_coordination_granularity,round_robin,2,180,129,0.2833333333333333,0.0011574074074074073,0.00324074074074074,0.0043981481481481476,0.0,0.0011574074074074073,0.0043981481481481476,0.24814814814814815,0.0006944444444444247,0.3247685185185185,15.588888888888889,0.1337962962962963,0.1337962962962963,1.1769943362289625,2.4423645320197043,0.08068335536397679,0.11793815473421561,0.05886177439540006,0.5091068103092001,0.054456339258215615,0.7403630786970314,0.06111111111111111,0.30165554183082116,25530,9564,7610,0.755598992321533,0.2614156210953447,0.7166666666666667,0.29808068938503723
epr_coordination_granularity,shared_global_pool,2,180,173,0.03888888888888889,0.00011574074074074073,0.1545138888888889,0.15462962962962962,0.0,0.00011574074074074073,0.15462962962962962,0.8207175925925926,-7.719907407407408,7.731481481481482,371.1111111111111,0.0,0.0,1.1169014212905277,1.4919093851132685,0.009189149674206597,0.12836492322154555,0.06394553310173909,0.6840514103796049,0.0,0.8763618667028896,0.3333333333333333,0.31308745404011973,27354,10216,7854,0.7672065628585901,0.336206182268276,0.9611111111111111,0.28712436937924984
epr_coordination_granularity,static_assignment,2,180,96,0.4666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.12893568928874904,0.10612282638920859,0.05388204753030112,0.3804892792980088,0.02894818944891238,0.5694423426664309,0.0,0.17107597800184865,23844,10522,4026,0.7626849160150218,0.2711627963179758,0.5333333333333333,0.1688475088072471
reservation_reset,coherence_aware,2,135,116,0.14074074074074075,0.09367283950617285,0.0007716049382716049,0.09444444444444444,0.0,0.09367283950617285,0.09444444444444444,0.14197530864197533,153.13503086419755,153.30416666666667,7358.6,153.13503086419755,153.30416666666667,1.1757283193728396,5.625615763546798,0.036526428101380654,0.13142466931892452,0.09418815016378275,0.37467160974800573,0.0,0.600284429230713,0.0,,0,0,0,0.7581761621735873,0.3843939710413904,0.8592592592592593,
reservation_reset,fair_share,2,135,103,0.23703703703703705,0.09459876543209877,0.0012345679012345679,0.09583333333333334,0.0,0.09459876543209877,0.09583333333333334,0.3391975308641975,109.53101851851852,109.9591049382716,5278.037037037037,109.53101851851852,109.9591049382716,1.1975615117868348,7.086619718309859,0.05218481043987052,0.12907656809179377,0.09191539865871273,0.4528313145713516,0.0,0.6738232813218581,0.05185185185185185,,0,0,0,0.761515143541937,0.3802379192724768,0.762962962962963,
reservation_reset,first_available,2,135,114,0.15555555555555556,0.09429012345679012,0.001388888888888889,0.09567901234567901,0.0,0.09429012345679012,0.09567901234567901,0.3442901234567901,139.77885802469135,140.03626543209876,6721.740740740741,139.77885802469135,140.03626543209876,1.0856808277766226,2.5654390934844193,0.048851451474474866,0.12947053306934983,0.09207999400312189,0.45343554374774964,0.0,0.6749860708202214,0.05185185185185185,,0,0,0,0.7562606411809661,0.38137433236645124,0.8444444444444444,
reservation_reset,per_tenant_reserved,2,135,81,0.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.33993090638014734,0.09558376121235033,0.06534272376128931,0.26301511736469085,0.0,0.4239416023383305,0.0,,0,0,0,0.4599215333473262,0.7502979878950391,0.6,
reservation_reset,predicted_demand,2,135,112,0.17037037037037037,0.07978395061728395,0.003703703703703704,0.08348765432098766,0.0,0.07978395061728395,0.08348765432098766,0.22746913580246914,28.008024691358028,28.708950617283953,1378.0296296296297,28.008024691358028,28.708950617283953,1.1677967727835448,4.009395184967704,0.04182404501933279,0.12981386606921888,0.09327943233229867,0.3807865413237517,0.0,0.6038798397252693,0.0,,0,0,0,0.7624255736269883,0.36384548456761695,0.8296296296296296,
reservation_reset,priority_allocation,2,135,117,0.13333333333333333,0.0882716049382716,0.003858024691358024,0.09212962962962963,0.0,0.0882716049382716,0.09212962962962963,0.33734567901234563,72.68179012345679,73.19259259259259,3513.2444444444445,72.68179012345679,73.19259259259259,1.1351082466236524,4.047208121827411,0.047399769737372505,0.12945133973891676,0.09284892070100231,0.4529198272755807,0.0,0.6752200877154998,0.05925925925925926,,0,0,0,0.7519863728188457,0.35098300954367484,0.8666666666666667,
