subexperiment,configuration_id,allocation_policy,communication_qubits_per_module,tenants_sharing_module,reservation_duration_ns,reset_time_ns,epr_prefetch_enabled,allocation_coordination,allocation_granularity,trial_count,successful_victim_trial_count,victim_failure_rate,mean_positive_delay_detection_probability,mean_negative_speedup_detection_probability,mean_signed_timing_change_probability,mean_failure_only_detection_probability,mean_delay_or_failure_detection_probability,mean_signed_timing_or_failure_detection_probability,mean_full_observable_change_probability,mean_signed_turnaround_change_ns,mean_absolute_turnaround_change_ns,mean_total_absolute_turnaround_change_ns,mean_signed_cq_queue_change_ns,mean_absolute_cq_queue_change_ns,mean_successful_victim_slowdown_ratio,max_successful_victim_slowdown_ratio,mean_request_failure_rate,mean_cq_service_utilization,mean_cq_reset_occupancy_fraction,mean_cq_reservation_occupancy_fraction,mean_cq_allocation_hold_fraction,mean_aggregate_resource_demand_nonphysical,fraction_aggregate_resource_demand_exceeds_one,mean_epr_unused_fraction,total_epr_prefetched_pairs,total_epr_used_pairs,total_epr_unused_pairs,mean_grant_fairness,mean_inverse_wait_fairness,successful_victim_trial_fraction,aggregate_epr_unused_fraction
core_policy_capacity_tenancy,core_policy_capacity_tenancy__first_available__cq2__ten4__res500__reset50__noepr__global__per_operation,first_available,2,4,500,50,False,global,per_operation,15,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42916666666666664,0.0,0.0,0.0,0.0,0.0,1.164027603615652,1.4198580141985802,0.00196078431372548,0.1404594892392375,0.06384522238147158,0.5050187836865576,0.0,0.7093234953072667,0.0,,0,0,0,0.7658368234907094,0.25186721133269285,1.0,
core_policy_capacity_tenancy,core_policy_capacity_tenancy__first_available__cq2__ten8__res500__reset50__noepr__global__per_operation,first_available,2,8,500,50,False,global,per_operation,15,12,0.2,0.004166666666666667,0.0,0.004166666666666667,0.0,0.004166666666666667,0.004166666666666667,0.5069444444444444,0.3236111111111111,0.3236111111111111,15.533333333333333,0.3236111111111111,0.3236111111111111,1.110055859624447,1.5645320197044335,0.08721373658407622,0.17222851510115153,0.07828568868234158,0.5418468849317272,0.0,0.7923610887152202,0.0,,0,0,0,0.7133846225749534,0.12737441333632063,0.8,
core_policy_capacity_tenancy,core_policy_capacity_tenancy__first_available__cq4__ten2__res500__reset50__noepr__global__per_operation,first_available,4,2,500,50,False,global,per_operation,15,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.775,0.0,0.0,0.0,0.0,0.0,1.0040462427745664,1.0202312138728324,0.0,0.05564162389174052,0.02529164722351838,0.22752449836677555,0.0,0.3084577694820344,0.0,,0,0,0,0.9011615494493965,0.5060692370906346,1.0,
core_policy_capacity_tenancy,core_policy_capacity_tenancy__first_available__cq4__ten3__res500__reset50__noepr__global__per_operation,first_available,4,3,500,50,False,global,per_operation,15,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6930555555555556,0.0,0.0,0.0,0.0,0.0,1.0074133459135333,1.0361486870524041,0.0,0.062006661571381474,0.02818484616880974,0.2684848361312618,0.0,0.35867634387145303,0.0,,0,0,0,0.804958020709733,0.4061790026018098,1.0,
core_policy_capacity_tenancy,core_policy_capacity_tenancy__first_available__cq4__ten4__res500__reset50__noepr__global__per_operation,first_available,4,4,500,50,False,global,per_operation,15,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7680555555555556,0.0,0.0,0.0,0.0,0.0,1.0095130423390235,1.0657223796033994,0.0,0.0708028970688719,0.03218313503130536,0.31712173993681864,0.0,0.4201077720369959,0.0,,0,0,0,0.7677149113724713,0.3103034078566586,1.0,
core_policy_capacity_tenancy,core_policy_capacity_tenancy__first_available__cq4__ten8__res500__reset50__noepr__global__per_operation,first_available,4,8,500,50,False,global,per_operation,15,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8972222222222223,0.0,0.0,0.0,0.0,0.0,1.090754217412852,1.7652173913043478,0.0,0.1070106103739644,0.04864118653362016,0.4659204280362454,0.0,0.6215722249438299,0.0,,0,0,0,0.7482382334044941,0.13003442385440447,1.0,
core_policy_capacity_tenancy,core_policy_capacity_tenancy__first_available__cq8__ten2__res500__reset50__noepr__global__per_operation,first_available,8,2,500,50,False,global,per_operation,15,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7625,0.0,0.0,0.0,0.0,0.0,1.0003569303985722,1.0017846519928615,0.0,0.02782081194587026,0.01264582361175918,0.13241950536630887,0.0,0.1728861409239383,0.0,,0,0,0,0.9011615494493965,0.705209388973585,1.0,
core_policy_capacity_tenancy,core_policy_capacity_tenancy__first_available__cq8__ten3__res500__reset50__noepr__global__per_operation,first_available,8,3,500,50,False,global,per_operation,15,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7819444444444444,0.0,0.0,0.0,0.0,0.0,1.0003569303985722,1.0017846519928615,0.0,0.03144589531904253,0.014293588781382939,0.15497460983603847,0.0,0.20071409393646397,0.0,,0,0,0,0.804958020709733,0.6044925956418005,1.0,
core_policy_capacity_tenancy,core_policy_capacity_tenancy__first_available__cq8__ten4__res500__reset50__noepr__global__per_operation,first_available,8,4,500,50,False,global,per_operation,15,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7763888888888889,0.0,0.0,0.0,0.0,0.0,1.0004038004750595,1.0042755344418053,0.0,0.03570625131063454,0.01623011423210658,0.1800081884930938,0.0,0.23194455403583492,0.0,,0,0,0,0.7677149113724713,0.5126655202568028,1.0,
core_policy_capacity_tenancy,core_policy_capacity_tenancy__first_available__cq8__ten8__res500__reset50__noepr__global__per_operation,first_available,8,8,500,50,False,global,per_operation,15,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8541666666666666,0.0,0.0,0.0,0.0,0.0,1.0009953805192053,1.0082169268693508,0.0,0.05383404164575211,0.024470018929887295,0.2828105147399854,0.0,0.36111457531562485,0.0,,0,0,0,0.7482382334044941,0.3513485165810604,1.0,
