subexperiment,allocation_policy,trial_count,successful_victim_trial_count,victim_failure_rate,mean_positive_delay_detection_probability,mean_negative_speedup_detection_probability,mean_signed_timing_change_probability,mean_failure_only_detection_probability,mean_delay_or_failure_detection_probability,mean_signed_timing_or_failure_detection_probability,mean_full_observable_change_probability,mean_signed_turnaround_change_ns,mean_absolute_turnaround_change_ns,mean_total_absolute_turnaround_change_ns,mean_signed_cq_queue_change_ns,mean_absolute_cq_queue_change_ns,mean_successful_victim_slowdown_ratio,max_successful_victim_slowdown_ratio,mean_request_failure_rate,mean_cq_service_utilization,mean_cq_reset_occupancy_fraction,mean_cq_reservation_occupancy_fraction,mean_cq_allocation_hold_fraction,mean_aggregate_resource_demand_nonphysical,fraction_aggregate_resource_demand_exceeds_one,mean_epr_unused_fraction,total_epr_prefetched_pairs,total_epr_used_pairs,total_epr_unused_pairs,mean_grant_fairness,mean_inverse_wait_fairness,successful_victim_trial_fraction,aggregate_epr_unused_fraction
reservation_reset,coherence_aware,135,116,0.14074074074074075,0.09367283950617285,0.0007716049382716049,0.09444444444444444,0.0,0.09367283950617285,0.09444444444444444,0.14197530864197533,153.13503086419755,153.30416666666667,7358.6,153.13503086419755,153.30416666666667,1.1757283193728396,5.625615763546798,0.036526428101380654,0.13142466931892452,0.09418815016378275,0.37467160974800573,0.0,0.600284429230713,0.0,,0,0,0,0.7581761621735873,0.3843939710413904,0.8592592592592593,
reservation_reset,fair_share,135,103,0.23703703703703705,0.09459876543209877,0.0012345679012345679,0.09583333333333334,0.0,0.09459876543209877,0.09583333333333334,0.3391975308641975,109.53101851851852,109.9591049382716,5278.037037037037,109.53101851851852,109.9591049382716,1.1975615117868348,7.086619718309859,0.05218481043987052,0.12907656809179377,0.09191539865871273,0.4528313145713516,0.0,0.6738232813218581,0.05185185185185185,,0,0,0,0.761515143541937,0.3802379192724768,0.762962962962963,
reservation_reset,first_available,135,114,0.15555555555555556,0.09429012345679012,0.001388888888888889,0.09567901234567901,0.0,0.09429012345679012,0.09567901234567901,0.3442901234567901,139.77885802469135,140.03626543209876,6721.740740740741,139.77885802469135,140.03626543209876,1.0856808277766226,2.5654390934844193,0.048851451474474866,0.12947053306934983,0.09207999400312189,0.45343554374774964,0.0,0.6749860708202214,0.05185185185185185,,0,0,0,0.7562606411809661,0.38137433236645124,0.8444444444444444,
reservation_reset,per_tenant_reserved,135,81,0.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.33993090638014734,0.09558376121235033,0.06534272376128931,0.26301511736469085,0.0,0.4239416023383305,0.0,,0,0,0,0.4599215333473262,0.7502979878950391,0.6,
reservation_reset,predicted_demand,135,112,0.17037037037037037,0.07978395061728395,0.003703703703703704,0.08348765432098766,0.0,0.07978395061728395,0.08348765432098766,0.22746913580246914,28.008024691358028,28.708950617283953,1378.0296296296297,28.008024691358028,28.708950617283953,1.1677967727835448,4.009395184967704,0.04182404501933279,0.12981386606921888,0.09327943233229867,0.3807865413237517,0.0,0.6038798397252693,0.0,,0,0,0,0.7624255736269883,0.36384548456761695,0.8296296296296296,
reservation_reset,priority_allocation,135,117,0.13333333333333333,0.0882716049382716,0.003858024691358024,0.09212962962962963,0.0,0.0882716049382716,0.09212962962962963,0.33734567901234563,72.68179012345679,73.19259259259259,3513.2444444444445,72.68179012345679,73.19259259259259,1.1351082466236524,4.047208121827411,0.047399769737372505,0.12945133973891676,0.09284892070100231,0.4529198272755807,0.0,0.6752200877154998,0.05925925925925926,,0,0,0,0.7519863728188457,0.35098300954367484,0.8666666666666667,
reservation_reset,random_allocation,135,111,0.17777777777777778,0.09537037037037037,0.001388888888888889,0.09675925925925925,0.0,0.09537037037037037,0.09675925925925925,0.24722222222222223,150.58858024691358,150.99351851851853,7247.688888888889,150.58858024691358,150.99351851851853,1.128056576558385,3.3054187192118225,0.04122098275608711,0.13045289448341255,0.09361109241174798,0.43765598779499243,0.0,0.6617199746901529,0.02962962962962963,,0,0,0,0.7636443853078858,0.38571624545464767,0.8222222222222222,
reservation_reset,round_robin,135,114,0.15555555555555556,0.09320987654320986,0.0007716049382716049,0.09398148148148149,0.0,0.09320987654320986,0.09398148148148149,0.36358024691358026,135.7888888888889,135.8432098765432,6520.474074074074,135.7888888888889,135.8432098765432,1.2277876594654933,13.34248366013072,0.047466805718703244,0.1292309064402978,0.09407891341016539,0.4539195143413184,0.0,0.6772293341917816,0.05185185185185185,,0,0,0,0.7596861947016837,0.37979403773072484,0.8444444444444444,
reservation_reset,shared_global_pool,135,135,0.0,0.040740740740740744,0.0,0.040740740740740744,0.0,0.040740740740740744,0.040740740740740744,0.8407407407407408,43.9979938271605,43.9979938271605,2111.9037037037037,43.9979938271605,43.9979938271605,1.0983660373641408,1.4957627118644068,0.00047930283224400816,0.13919801265164797,0.10484880787985536,0.5945121425400368,0.0,0.83855896307154,0.4074074074074074,,0,0,0,0.7672486489123814,0.40503919408916644,1.0,
reservation_reset,static_assignment,135,77,0.42962962962962964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.08754727959392726,0.11952730825238989,0.08125987386246278,0.33631561094321205,0.0,0.5371027930580647,0.0,,0,0,0,0.7804656127828019,0.25400675950329044,0.5703703703703704,
