victim_instance_id,phase_index,phase_label,remote_active,start_ns,end_ns,duration_ns,schedule_signature
victim_0012,3,sparse_remote,1,11691.214193367578,14378.02984988377,2686.8156565161917,dfea23602595ad5a
victim_0012,4,local_compute,0,14378.02984988377,16681.155445819422,2303.125595935653,dfea23602595ad5a
victim_0012,5,dense_remote,1,16681.155445819422,20000.0,3318.8445541805777,dfea23602595ad5a
victim_0013,0,local_compute,0,0.0,5289.791451900579,5289.791451900579,a83772700bcd665b
victim_0013,1,synchronization_bursty,1,5289.791451900579,7876.4580843995645,2586.6666324989856,a83772700bcd665b
victim_0013,2,dense_remote,1,7876.4580843995645,12858.629211378207,4982.171126978643,a83772700bcd665b
victim_0013,3,local_compute,0,12858.629211378207,15217.59887952045,2358.969668142243,a83772700bcd665b
victim_0013,4,sparse_remote,1,15217.59887952045,17296.429304143207,2078.8304246227563,a83772700bcd665b
victim_0013,5,dense_remote,1,17296.429304143207,20000.0,2703.5706958567935,a83772700bcd665b
victim_0014,0,sparse_remote,1,0.0,3440.439762655111,3440.439762655111,497b527e6d5a4576
victim_0014,1,dense_remote,1,3440.439762655111,9898.94573664832,6458.505973993209,497b527e6d5a4576
victim_0014,2,local_compute,0,9898.94573664832,12548.450140910678,2649.5044042623576,497b527e6d5a4576
victim_0014,3,synchronization_bursty,1,12548.450140910678,16122.746035770731,3574.2958948600535,497b527e6d5a4576
victim_0014,4,sparse_remote,1,16122.746035770731,20000.0,3877.2539642292686,497b527e6d5a4576
victim_0015,0,dense_remote,1,0.0,1979.4137482085443,1979.4137482085443,89745fdf591d65b1
victim_0015,1,sparse_remote,1,1979.4137482085443,7088.264443843749,5108.850695635205,89745fdf591d65b1
victim_0015,2,local_compute,0,7088.264443843749,9876.867156654751,2788.6027128110018,89745fdf591d65b1
victim_0015,3,sparse_remote,1,9876.867156654751,13846.855074745217,3969.9879180904663,89745fdf591d65b1
victim_0015,4,local_compute,0,13846.855074745217,17058.301872510183,3211.4467977649656,89745fdf591d65b1
victim_0015,5,synchronization_bursty,1,17058.301872510183,20000.0,2941.698127489817,89745fdf591d65b1
victim_0016,0,synchronization_bursty,1,0.0,2925.148047948307,2925.148047948307,a1ac20d8d182cd86
victim_0016,1,local_compute,0,2925.148047948307,8002.5633124045535,5077.415264456246,a1ac20d8d182cd86
victim_0016,2,dense_remote,1,8002.5633124045535,11157.658028181644,3155.0947157770906,a1ac20d8d182cd86
victim_0016,3,synchronization_bursty,1,11157.658028181644,16820.556463413697,5662.898435232053,a1ac20d8d182cd86
victim_0016,4,sparse_remote,1,16820.556463413697,20000.0,3179.443536586303,a1ac20d8d182cd86
victim_0017,0,synchronization_bursty,1,0.0,2863.839954773889,2863.839954773889,e2089e3e39c9b69e
victim_0017,1,local_compute,0,2863.839954773889,6458.433575860685,3594.593621086796,e2089e3e39c9b69e
victim_0017,2,sparse_remote,1,6458.433575860685,9034.5126564036,2576.079080542915,e2089e3e39c9b69e
victim_0017,3,synchronization_bursty,1,9034.5126564036,12317.07373763635,3282.5610812327504,e2089e3e39c9b69e
victim_0017,4,dense_remote,1,12317.07373763635,16340.310278107612,4023.236540471262,e2089e3e39c9b69e
victim_0017,5,sparse_remote,1,16340.310278107612,20000.0,3659.6897218923878,e2089e3e39c9b69e
victim_0018,0,dense_remote,1,0.0,4823.51995045369,4823.51995045369,c03feee00e6e5043
victim_0018,1,sparse_remote,1,4823.51995045369,9594.047520701628,4770.527570247938,c03feee00e6e5043
victim_0018,2,synchronization_bursty,1,9594.047520701628,12361.950228432477,2767.902707730849,c03feee00e6e5043
victim_0018,3,dense_remote,1,12361.950228432477,16100.566304239506,3738.616075807029,c03feee00e6e5043
victim_0018,4,local_compute,0,16100.566304239506,20000.0,3899.4336957604937,c03feee00e6e5043
victim_0019,0,local_compute,0,0.0,4761.4188742188235,4761.4188742188235,da3544f3a29265c1
victim_0019,1,synchronization_bursty,1,4761.4188742188235,8844.768161492557,4083.3492872737334,da3544f3a29265c1
victim_0019,2,local_compute,0,8844.768161492557,14285.298698545015,5440.530537052458,da3544f3a29265c1
victim_0019,3,sparse_remote,1,14285.298698545015,16954.530912220944,2669.2322136759285,da3544f3a29265c1
victim_0019,4,dense_remote,1,16954.530912220944,20000.0,3045.4690877790563,da3544f3a29265c1
victim_0020,0,dense_remote,1,0.0,3945.197190413731,3945.197190413731,72e786ca7a584002
victim_0020,1,local_compute,0,3945.197190413731,8519.38861505275,4574.19142463902,72e786ca7a584002
victim_0020,2,synchronization_bursty,1,8519.38861505275,13972.618573212338,5453.229958159587,72e786ca7a584002
victim_0020,3,local_compute,0,13972.618573212338,17384.940617006945,3412.3220437946075,72e786ca7a584002
victim_0020,4,sparse_remote,1,17384.940617006945,20000.0,2615.059382993055,72e786ca7a584002
victim_0021,0,sparse_remote,1,0.0,4759.966321063424,4759.966321063424,f39a9241aad94619
victim_0021,1,synchronization_bursty,1,4759.966321063424,8023.774657416447,3263.8083363530222,f39a9241aad94619
victim_0021,2,local_compute,0,8023.774657416447,12471.76934700158,4447.9946895851335,f39a9241aad94619
victim_0021,3,sparse_remote,1,12471.76934700158,17210.120932329803,4738.351585328222,f39a9241aad94619
victim_0021,4,dense_remote,1,17210.120932329803,20000.0,2789.8790676701974,f39a9241aad94619
victim_0022,0,synchronization_bursty,1,0.0,3282.393742262545,3282.393742262545,2677f3afeee8484d
victim_0022,1,sparse_remote,1,3282.393742262545,6879.426857186192,3597.033114923647,2677f3afeee8484d
victim_0022,2,dense_remote,1,6879.426857186192,9968.001637570029,3088.5747803838367,2677f3afeee8484d
victim_0022,3,local_compute,0,9968.001637570029,14339.419944693838,4371.418307123809,2677f3afeee8484d
victim_0022,4,dense_remote,1,14339.419944693838,16767.069757922298,2427.6498132284596,2677f3afeee8484d
victim_0022,5,synchronization_bursty,1,16767.069757922298,20000.0,3232.930242077702,2677f3afeee8484d
victim_0023,0,synchronization_bursty,1,0.0,4319.921584385967,4319.921584385967,39af44222a912127
victim_0023,1,sparse_remote,1,4319.921584385967,7145.10665635393,2825.1850719679624,39af44222a912127
victim_0023,2,synchronization_bursty,1,7145.10665635393,11420.840571458542,4275.733915104613,39af44222a912127
victim_0023,3,local_compute,0,11420.840571458542,16495.043872484857,5074.203301026315,39af44222a912127
victim_0023,4,dense_remote,1,16495.043872484857,20000.0,3504.9561275151427,39af44222a912127
victim_0024,0,dense_remote,1,0.0,3308.0499972602383,3308.0499972602383,8d885f0a6ee5034f
victim_0024,1,local_compute,0,3308.0499972602383,5880.101017482134,2572.0510202218957,8d885f0a6ee5034f
