qaoa_label,num_qubits,profile_name,trial_id,attacker_request_id,probe_id,window_name,observation_duration_ns,round_start_time_ns,request_release_time_ns,actual_arrival_time_ns,service_start_time_ns,victim_on_completion_time_ns,service_time_ns,victim_on_waiting_time_ns,victim_on_turnaround_time_ns,source_module,target_modules,architecture_request_id,baseline_waiting_time_ns,baseline_turnaround_time_ns,baseline_completion_time_ns,excess_waiting_time_ns,excess_turnaround_time_ns,victim_contention_observed,raw_excess_turnaround_time_ns,raw_excess_waiting_time_ns,detection_threshold_ns
qaoa_n5,5,clean,0,47,47,qaoa_n5_clean,20000,20740,20770,20770,20770,20880.0,110,0.0,110.0,module_3,module_4,64,0.0,110.0,20880.0,0.0,0.0,False,0.0,0.0,0.0
qaoa_n6,6,clean,0,0,0,qaoa_n6_clean,20000,1000,1030,1030,1030,1140.0,110,0.0,110.0,module_3,module_4,0,0.0,110.0,1140.0,0.0,0.0,False,0.0,0.0,0.0
qaoa_n6,6,clean,0,1,1,qaoa_n6_clean,20000,1420,1450,1450,3450,3560.0,110,2000.0,2110.0,module_3,module_4,22,0.0,110.0,1560.0,2000.0,2000.0,True,2000.0,2000.0,0.0
qaoa_n6,6,clean,0,2,2,qaoa_n6_clean,20000,1840,1870,1870,4010,4120.0,110,2140.0,2250.0,module_3,module_4,27,0.0,110.0,1980.0,2140.0,2140.0,True,2140.0,2140.0,0.0
qaoa_n6,6,clean,0,3,3,qaoa_n6_clean,20000,2260,2290,2290,4120,4230.0,110,1830.0,1940.0,module_3,module_4,28,0.0,110.0,2400.0,1830.0,1830.0,True,1830.0,1830.0,0.0
qaoa_n6,6,clean,0,4,4,qaoa_n6_clean,20000,2680,2710,2710,4230,4340.0,110,1520.0,1630.0,module_3,module_4,29,0.0,110.0,2820.0,1520.0,1520.0,True,1520.0,1520.0,0.0
qaoa_n6,6,clean,0,5,5,qaoa_n6_clean,20000,3100,3130,3130,4340,4450.0,110,1210.0,1320.0,module_3,module_4,30,0.0,110.0,3240.0,1210.0,1210.0,True,1210.0,1210.0,0.0
qaoa_n6,6,clean,0,6,6,qaoa_n6_clean,20000,3520,3550,3550,4450,4560.0,110,900.0,1010.0,module_3,module_4,31,0.0,110.0,3660.0,900.0,900.0,True,900.0,900.0,0.0
qaoa_n6,6,clean,0,7,7,qaoa_n6_clean,20000,3940,3970,3970,4560,4670.0,110,590.0,700.0,module_3,module_4,32,0.0,110.0,4080.0,590.0,590.0,True,590.0,590.0,0.0
qaoa_n6,6,clean,0,8,8,qaoa_n6_clean,20000,4360,4390,4390,4670,4780.0,110,280.0,390.0,module_3,module_4,33,0.0,110.0,4500.0,280.0,280.0,True,280.0,280.0,0.0
qaoa_n6,6,clean,0,9,9,qaoa_n6_clean,20000,4780,4810,4810,4810,4920.0,110,0.0,110.0,module_3,module_4,34,0.0,110.0,4920.0,0.0,0.0,False,0.0,0.0,0.0
qaoa_n6,6,clean,0,10,10,qaoa_n6_clean,20000,5200,5230,5230,5230,5340.0,110,0.0,110.0,module_3,module_4,35,0.0,110.0,5340.0,0.0,0.0,False,0.0,0.0,0.0
qaoa_n6,6,clean,0,11,11,qaoa_n6_clean,20000,5620,5650,5650,5650,5760.0,110,0.0,110.0,module_3,module_4,36,0.0,110.0,5760.0,0.0,0.0,False,0.0,0.0,0.0
qaoa_n6,6,clean,0,12,12,qaoa_n6_clean,20000,6040,6070,6070,6070,6180.0,110,0.0,110.0,module_3,module_4,37,0.0,110.0,6180.0,0.0,0.0,False,0.0,0.0,0.0
qaoa_n6,6,clean,0,13,13,qaoa_n6_clean,20000,6460,6490,6490,6490,6600.0,110,0.0,110.0,module_3,module_4,38,0.0,110.0,6600.0,0.0,0.0,False,0.0,0.0,0.0
qaoa_n6,6,clean,0,14,14,qaoa_n6_clean,20000,6880,6910,6910,6910,7020.0,110,0.0,110.0,module_3,module_4,39,0.0,110.0,7020.0,0.0,0.0,False,0.0,0.0,0.0
qaoa_n6,6,clean,0,15,15,qaoa_n6_clean,20000,7300,7330,7330,7330,7440.0,110,0.0,110.0,module_3,module_4,40,0.0,110.0,7440.0,0.0,0.0,False,0.0,0.0,0.0
