base_schedule_id,repeat_id,schedule_profile,victim_request_index,route_path,release_ns
base_0002,1,synchronization_bursty,23,probe_path_1,10982.88392413265
base_0002,1,synchronization_bursty,24,probe_path_2,12314.935781219683
base_0002,1,synchronization_bursty,25,probe_path_0,12396.578462663623
base_0002,1,synchronization_bursty,26,probe_path_1,12485.124108670112
base_0002,1,synchronization_bursty,27,probe_path_2,13809.72095743186
base_0002,1,synchronization_bursty,28,probe_path_0,13896.922094529957
base_0002,1,synchronization_bursty,29,probe_path_1,13985.407285865282
base_0002,1,synchronization_bursty,30,probe_path_2,15311.453371495107
base_0002,1,synchronization_bursty,31,probe_path_0,15396.792105404174
base_0002,1,synchronization_bursty,32,probe_path_1,15479.817030964996
base_0002,1,synchronization_bursty,33,probe_path_2,16810.746192186463
base_0002,1,synchronization_bursty,34,probe_path_0,16901.853271712742
base_0002,1,synchronization_bursty,35,probe_path_1,16984.680742064917
base_0002,1,synchronization_bursty,36,probe_path_2,18310.57753776933
base_0002,1,synchronization_bursty,37,probe_path_0,18402.309717148462
base_0002,1,synchronization_bursty,38,probe_path_1,18486.19548323554
base_0002,1,synchronization_bursty,39,probe_path_2,19811.11391508817
base_0002,1,synchronization_bursty,40,probe_path_0,19895.571760382903
base_0002,1,synchronization_bursty,41,probe_path_1,19985.425431845757
base_0003,0,sparse_periodic,0,probe_path_2,116.95613815092388
base_0003,0,sparse_periodic,1,probe_path_0,1053.7584404471304
base_0003,0,sparse_periodic,2,probe_path_1,1981.4595084540458
base_0003,0,sparse_periodic,3,probe_path_2,2915.523968034239
base_0003,0,sparse_periodic,4,probe_path_0,3847.163323306144
base_0003,0,sparse_periodic,5,probe_path_1,4781.553718515086
base_0003,0,sparse_periodic,6,probe_path_2,5717.424474417347
base_0003,0,sparse_periodic,7,probe_path_0,6643.847969435934
base_0003,0,sparse_periodic,8,probe_path_1,7579.23084249908
base_0003,0,sparse_periodic,9,probe_path_2,8512.02122852863
base_0003,0,sparse_periodic,10,probe_path_0,9442.784704622803
base_0003,0,sparse_periodic,11,probe_path_1,10377.238672587613
base_0003,0,sparse_periodic,12,probe_path_2,11306.023035105489
base_0003,0,sparse_periodic,13,probe_path_0,12241.60160872821
base_0003,0,sparse_periodic,14,probe_path_1,13174.822307862436
base_0003,0,sparse_periodic,15,probe_path_2,14105.44718707384
base_0003,0,sparse_periodic,16,probe_path_0,15037.291017723825
base_0003,0,sparse_periodic,17,probe_path_1,15968.109069084601
base_0003,0,sparse_periodic,18,probe_path_2,16899.155390619966
base_0003,0,sparse_periodic,19,probe_path_0,17830.718890421034
base_0003,0,sparse_periodic,20,probe_path_1,18766.39269760749
base_0003,0,sparse_periodic,21,probe_path_2,19695.680402366208
base_0003,1,sparse_periodic,0,probe_path_2,118.74244431134686
base_0003,1,sparse_periodic,1,probe_path_0,1047.1655558977313
base_0003,1,sparse_periodic,2,probe_path_1,1982.8970656155082
base_0003,1,sparse_periodic,3,probe_path_2,2911.8322321957917
base_0003,1,sparse_periodic,4,probe_path_0,3843.3819588407623
base_0003,1,sparse_periodic,5,probe_path_1,4780.179487560098
base_0003,1,sparse_periodic,6,probe_path_2,5712.358682715883
base_0003,1,sparse_periodic,7,probe_path_0,6639.725822624548
base_0003,1,sparse_periodic,8,probe_path_1,7570.610744125886
base_0003,1,sparse_periodic,9,probe_path_2,8502.87603864142
base_0003,1,sparse_periodic,10,probe_path_0,9434.776118439471
base_0003,1,sparse_periodic,11,probe_path_1,10369.17805912064
base_0003,1,sparse_periodic,12,probe_path_2,11302.514543070947
base_0003,1,sparse_periodic,13,probe_path_0,12233.726993513183
base_0003,1,sparse_periodic,14,probe_path_1,13165.42038061601
base_0003,1,sparse_periodic,15,probe_path_2,14100.70211363819
base_0003,1,sparse_periodic,16,probe_path_0,15031.804287978084
base_0003,1,sparse_periodic,17,probe_path_1,15960.758530625204
base_0003,1,sparse_periodic,18,probe_path_2,16895.075070632727
base_0003,1,sparse_periodic,19,probe_path_0,17824.1347207243
base_0003,1,sparse_periodic,20,probe_path_1,18762.42846105189
base_0003,1,sparse_periodic,21,probe_path_2,19688.84499299151
base_0004,0,dense_periodic,0,probe_path_0,298.74190315462613
base_0004,0,dense_periodic,1,probe_path_1,738.9992151661169
base_0004,0,dense_periodic,2,probe_path_2,1183.9641701305577
base_0004,0,dense_periodic,3,probe_path_0,1625.810268391729
base_0004,0,dense_periodic,4,probe_path_1,2066.872050837038
base_0004,0,dense_periodic,5,probe_path_2,2509.884630820448
base_0004,0,dense_periodic,6,probe_path_0,2954.1260445507014
base_0004,0,dense_periodic,7,probe_path_1,3393.1387791783354
base_0004,0,dense_periodic,8,probe_path_2,3838.8958259424217
base_0004,0,dense_periodic,9,probe_path_0,4281.595747179538
base_0004,0,dense_periodic,10,probe_path_1,4723.342787775559
base_0004,0,dense_periodic,11,probe_path_2,5166.155431457318
base_0004,0,dense_periodic,12,probe_path_0,5612.776130529671
base_0004,0,dense_periodic,13,probe_path_1,6052.541868579066
base_0004,0,dense_periodic,14,probe_path_2,6496.937084601502
base_0004,0,dense_periodic,15,probe_path_0,6938.541626042589
base_0004,0,dense_periodic,16,probe_path_1,7378.105024326998
base_0004,0,dense_periodic,17,probe_path_2,7819.087583760868
base_0004,0,dense_periodic,18,probe_path_0,8267.18508038286
base_0004,0,dense_periodic,19,probe_path_1,8705.83825242223
base_0004,0,dense_periodic,20,probe_path_2,9148.808212052507
base_0004,0,dense_periodic,21,probe_path_0,9593.728942002657
base_0004,0,dense_periodic,22,probe_path_1,10033.493355690895
base_0004,0,dense_periodic,23,probe_path_2,10476.853840699303
base_0004,0,dense_periodic,24,probe_path_0,10920.340465862102
base_0004,0,dense_periodic,25,probe_path_1,11366.110590897744
base_0004,0,dense_periodic,26,probe_path_2,11807.938454186075
base_0004,0,dense_periodic,27,probe_path_0,12248.468451675311
base_0004,0,dense_periodic,28,probe_path_1,12688.380325557358
base_0004,0,dense_periodic,29,probe_path_2,13131.936672971968
base_0004,0,dense_periodic,30,probe_path_0,13576.198287840216
base_0004,0,dense_periodic,31,probe_path_1,14015.497240790664
base_0004,0,dense_periodic,32,probe_path_2,14461.479159491219
base_0004,0,dense_periodic,33,probe_path_0,14904.834737323888
base_0004,0,dense_periodic,34,probe_path_1,15345.184533000715
base_0004,0,dense_periodic,35,probe_path_2,15787.005998971961
base_0004,0,dense_periodic,36,probe_path_0,16230.299895012018
base_0004,0,dense_periodic,37,probe_path_1,16673.625691381883
