protocol_name,scenario_id,workload_name,trial_id,probe_count,affected_probe_fraction,speedup_probe_fraction,failure_transition_fraction,mean_excess_turnaround_ns,mean_absolute_timing_change_ns,cumulative_positive_excess_ns,maximum_positive_excess_ns,p95_positive_excess_ns,std_excess_turnaround_ns,longest_affected_run,affected_run_count,lag1_excess_autocorrelation,epr_miss_fraction,persistent_epr_state_fraction,direct_victim_generation_overlap_fraction,victim_mean_request_slowdown,victim_makespan_slowdown,victim_mean_added_turnaround_ns,scenario_class,shared_resources
direct_coherent_remote_cx,direct_coherent_remote_cx__share_endpoint,dense_periodic,4,48,0.9791666666666666,0.0,0.0,2223.75,2223.75,106740.0,4320.0,4189.5,1271.342179548842,47,1,0.9977764549911414,0.0,0.0,0.0,15.943069168397583,1.2242276602253954,2241.4603752596367,single_resource,endpoint
direct_coherent_remote_cx,direct_coherent_remote_cx__share_endpoint,dense_periodic,5,48,0.9791666666666666,0.0,0.0,2161.875,2161.875,103770.0,4290.0,4018.5,1256.056421652706,47,1,0.9977076606023887,0.0,0.0,0.0,15.719526140714564,1.2189268287299895,2207.9289211071846,single_resource,endpoint
direct_coherent_remote_cx,direct_coherent_remote_cx__share_endpoint,dense_periodic,6,48,0.9791666666666666,0.0,0.0,2132.7079465001416,2132.7079465001416,102369.9814320068,4311.914498553335,4029.914498553335,1265.5872254468059,47,1,0.9977312711929428,0.0,0.0,0.0,15.30726156357884,1.2172708300229833,2146.0892345368247,single_resource,endpoint
direct_coherent_remote_cx,direct_coherent_remote_cx__share_endpoint,dense_periodic,7,48,0.9791666666666666,0.0,0.0,2136.983674320823,2136.983674320823,102575.2163673995,4316.281199306373,4034.2811993063733,1265.740673116395,47,1,0.9977282207157975,0.0,0.0,0.0,15.339643036821103,1.2176415933141753,2150.946455523167,single_resource,endpoint
direct_coherent_remote_cx,direct_coherent_remote_cx__share_endpoint,dense_periodic,8,48,0.9791666666666666,0.0,0.0,2154.0424951610316,2154.0424951610316,103394.03976772953,4356.681697185733,4074.6816971857334,1265.9502491901765,47,1,0.9976848890840544,0.0,0.0,0.0,15.486969748178378,1.2171797835288158,2173.0454622267575,single_resource,endpoint
direct_coherent_remote_cx,direct_coherent_remote_cx__share_endpoint,dense_periodic,9,48,0.9791666666666666,0.0,0.0,2184.375,2184.375,104850.0,4290.0,4069.5,1257.7011208450917,47,1,0.9977163933111268,0.0,0.0,0.0,15.829307813865977,1.2211608738010662,2224.3961720798966,single_resource,endpoint
direct_coherent_remote_cx,direct_coherent_remote_cx__share_endpoint,synchronization_bursty,0,48,0.9791666666666666,0.0,0.0,1599.375,1599.375,76770.0,3120.0,2799.0,814.0214121108854,47,1,0.9266428773334338,0.0,0.0,0.0,6.385607791256712,1.136260840901478,1382.0338857014085,single_resource,endpoint
direct_coherent_remote_cx,direct_coherent_remote_cx__share_endpoint,synchronization_bursty,1,48,0.9791666666666666,0.0,0.0,1644.375,1644.375,78930.0,3120.0,2878.5,822.1691488830021,47,1,0.9282079135282119,0.0,0.0,0.0,6.558094197316089,1.13854431351653,1443.4517749254067,single_resource,endpoint
direct_coherent_remote_cx,direct_coherent_remote_cx__share_endpoint,synchronization_bursty,2,48,0.9791666666666666,0.0,0.0,1567.727588946863,1567.727588946863,75250.92426944943,2995.126048286158,2753.626048286158,785.230787231279,47,1,0.9098387147671866,0.0,0.0,0.0,5.942305053210289,1.1402272624109153,1314.1058697452102,single_resource,endpoint
direct_coherent_remote_cx,direct_coherent_remote_cx__share_endpoint,synchronization_bursty,3,48,0.9791666666666666,0.0,0.0,1644.375,1644.375,78930.0,3120.0,2878.5,822.1691488830021,47,1,0.9282079135282119,0.0,0.0,0.0,6.562490949348636,1.1387749526535496,1446.1330797533853,single_resource,endpoint
direct_coherent_remote_cx,direct_coherent_remote_cx__share_endpoint,synchronization_bursty,4,48,0.9791666666666666,0.0,0.0,1576.875,1576.875,75690.0,2970.0,2799.0,797.2116935764302,47,1,0.9233050879871174,0.0,0.0,0.0,5.989226206859957,1.1438153871818177,1335.7712916166429,single_resource,endpoint
direct_coherent_remote_cx,direct_coherent_remote_cx__share_endpoint,synchronization_bursty,5,48,0.9791666666666666,0.0,0.0,1565.625,1565.625,75150.0,2970.0,2799.0,790.3556853562831,47,1,0.9166873650626983,0.0,0.0,0.0,5.97066176932888,1.142509340384011,1326.623559459888,single_resource,endpoint
direct_coherent_remote_cx,direct_coherent_remote_cx__share_endpoint,synchronization_bursty,6,48,0.9791666666666666,0.0,0.0,1616.25,1616.25,77580.0,3120.0,2878.5,820.981691330568,47,1,0.9279660869715705,0.0,0.0,0.0,6.445670952437612,1.1380424667190452,1398.1010418700073,single_resource,endpoint
direct_coherent_remote_cx,direct_coherent_remote_cx__share_endpoint,synchronization_bursty,7,48,0.9791666666666666,0.0,0.0,1563.9665691001774,1563.9665691001774,75070.39531680851,2991.285006740607,2749.785006740607,785.0711978725242,47,1,0.9098646171722029,0.0,0.0,0.0,5.940256217268857,1.140191726425946,1312.944088240526,single_resource,endpoint
direct_coherent_remote_cx,direct_coherent_remote_cx__share_endpoint,synchronization_bursty,8,48,0.9791666666666666,0.0,0.0,1593.75,1593.75,76500.0,3120.0,2799.0,810.6392153726589,47,1,0.9259885109691695,0.0,0.0,0.0,6.376646369741106,1.1359725802762553,1382.026462599906,single_resource,endpoint
direct_coherent_remote_cx,direct_coherent_remote_cx__share_endpoint,synchronization_bursty,9,48,0.9791666666666666,0.0,0.0,1543.9820256677885,1543.9820256677885,74111.13723205385,2970.8752602564637,2729.3752602564637,784.2290969492345,47,1,0.9099952952379223,0.0,0.0,0.0,5.933174799513203,1.1400390532353961,1311.1468650210222,single_resource,endpoint
direct_coherent_remote_cx,direct_coherent_remote_cx__share_switch_path,sparse_periodic,0,48,0.125,0.0,0.0,4.234237151743268,4.234237151743268,203.24338328367685,65.10851440595434,41.51983778079199,15.379131066505906,1,6,-0.07754095562660902,0.0,0.0,0.0,1.0659190797245761,1.0,9.887861958686429,single_resource,switch_path
direct_coherent_remote_cx,direct_coherent_remote_cx__share_switch_path,sparse_periodic,1,48,0.125,0.0,0.0,5.511758174748081,5.511758174748081,264.5643923879079,75.54761747710108,53.03125835631445,18.065777744653673,1,6,-0.09525139064294502,0.0,0.0,0.0,1.0517015636785507,1.0,7.755234551782636,single_resource,switch_path
direct_coherent_remote_cx,direct_coherent_remote_cx__share_switch_path,sparse_periodic,2,48,0.125,0.0,0.0,3.979192390299128,3.979192390299128,191.00123473435815,62.99931050742089,39.85684125045965,14.847221939657416,1,6,-0.0734694996977857,0.0,0.0,0.0,1.0717384617884158,1.0,10.760769268262367,single_resource,switch_path
direct_coherent_remote_cx,direct_coherent_remote_cx__share_switch_path,sparse_periodic,3,48,0.0625,0.0,0.0,3.6323566329569794,3.6323566329569794,174.35311838193502,60.44705130349121,36.79941417660976,14.074251457565836,1,3,-0.06812172646379004,0.0,0.0,0.0,1.0790310515722068,1.0,11.854657735831028,single_resource,switch_path
