scenario_name,logical_component,sharing_mode,component_capacity,cross_tenant_reuse,reuse_event_count,mean_acquisition_to_acquisition_ns,median_acquisition_to_acquisition_ns,mean_release_to_reacquire_gap_ns,minimum_release_to_reacquire_gap_ns,mean_previous_hold_ns
shared_source_link_interface_capacity1,transmission_segment,dedicated,1,False,2366,490.9599499799011,420.0,410.9599499799011,159.0,80.0
shared_source_link_interface_capacity2,controller_admission,dedicated,1,False,2366,490.90236686390534,420.0,482.90236686390534,230.99999999999818,8.0
shared_source_link_interface_capacity2,destination_link_interface,dedicated,1,False,2366,490.90236686390534,420.0,478.90236686390534,226.9999999999991,11.999999999999998
shared_source_link_interface_capacity2,source_link_interface,shared_pool,2,False,1128,502.90248226950354,420.0,383.90248226950354,120.0,119.0
shared_source_link_interface_capacity2,source_link_interface,shared_pool,2,True,1238,448.51123182154737,271.0314268774441,329.51123182154737,0.19533887966281327,119.0
shared_source_link_interface_capacity2,switch_arbiter,dedicated,1,False,2366,490.90236686390534,420.0,478.90236686390534,226.99999999999818,12.0
shared_source_link_interface_capacity2,switch_path,dedicated,1,False,2366,490.90236686390534,420.0,395.90236686390534,143.99999999999818,95.0
shared_source_link_interface_capacity2,transmission_segment,dedicated,1,False,2366,490.90236686390534,420.0,410.90236686390534,158.99999999999818,80.0
shared_switch_arbiter_capacity1,controller_admission,dedicated,1,False,2366,490.90236686390534,420.0,482.90236686390534,230.99999999999818,8.0
shared_switch_arbiter_capacity1,destination_link_interface,dedicated,1,False,2366,490.8967178071973,420.0,478.8967178071973,226.9999999999991,11.999999999999998
shared_switch_arbiter_capacity1,source_link_interface,dedicated,1,False,2366,490.90236686390534,420.0,371.7590993626467,119.99999999999818,119.14326750125862
shared_switch_arbiter_capacity1,switch_arbiter,shared_pool,1,False,657,389.96741469916935,420.0,377.96741469916935,227.0,12.0
shared_switch_arbiter_capacity1,switch_arbiter,shared_pool,1,True,1739,194.26438506584572,185.37665289308643,182.26438506584572,0.0,12.0
shared_switch_arbiter_capacity1,switch_path,dedicated,1,False,2366,490.8967178071973,420.0,395.8967178071973,143.99999999999818,95.0
shared_switch_arbiter_capacity1,transmission_segment,dedicated,1,False,2366,490.8967178071973,420.0,410.8967178071973,158.99999999999818,80.0
shared_switch_arbiter_capacity2,controller_admission,dedicated,1,False,2366,490.90236686390534,420.0,482.90236686390534,230.99999999999818,8.0
shared_switch_arbiter_capacity2,destination_link_interface,dedicated,1,False,2366,490.90236686390534,420.0,478.90236686390534,226.9999999999991,11.999999999999998
shared_switch_arbiter_capacity2,source_link_interface,dedicated,1,False,2366,490.90236686390534,420.0,371.90236686390534,119.99999999999818,119.0
shared_switch_arbiter_capacity2,switch_arbiter,shared_pool,2,False,667,616.5772113943028,420.0,604.5772113943028,227.0,12.0
shared_switch_arbiter_capacity2,switch_arbiter,shared_pool,2,True,1712,223.7794910219348,193.60335990076055,211.7794910219348,0.016950204817476333,12.0
shared_switch_arbiter_capacity2,switch_path,dedicated,1,False,2366,490.90236686390534,420.0,395.90236686390534,143.99999999999818,95.0
shared_switch_arbiter_capacity2,transmission_segment,dedicated,1,False,2366,490.90236686390534,420.0,410.90236686390534,158.99999999999818,80.0
shared_switch_path_capacity1,controller_admission,dedicated,1,False,2366,491.0182347803899,420.0,483.0182347803899,230.99999999999818,8.0
shared_switch_path_capacity1,destination_link_interface,dedicated,1,False,2366,490.9119282427455,420.0,478.9119282427455,227.0,11.999999999999998
shared_switch_path_capacity1,source_link_interface,dedicated,1,False,2366,491.0182347803899,420.0,362.73295681689495,119.99999999999818,128.2852779634949
shared_switch_path_capacity1,switch_arbiter,dedicated,1,False,2366,491.0182347803899,420.0,479.0182347803899,226.99999999999818,12.0
shared_switch_path_capacity1,switch_path,shared_pool,1,False,657,378.01518150153527,420.0,283.01518150153527,144.0,95.0
shared_switch_path_capacity1,switch_path,shared_pool,1,True,1739,199.0308127819465,178.62237291430392,104.0308127819465,0.0,95.0
