scenario_name,workload_name,trial_id,logical_component,sharing_mode,component_capacity,maximum_concurrent_occupancy,aggregate_occupancy_ns,capacity_limit,configured_component_capacity,capacity_respected,analysis_horizon_ns,aggregate_lane_utilization
fully_isolated_interconnect_control,periodic_dense,9,transmission_segment,dedicated,1,2,7360.0,2,1,True,20000.0,0.184
fully_isolated_interconnect_control,periodic_sparse,0,controller_admission,dedicated,1,1,560.0,2,1,True,20000.0,0.014
fully_isolated_interconnect_control,periodic_sparse,0,destination_link_interface,dedicated,1,1,840.0,2,1,True,20000.0,0.021
fully_isolated_interconnect_control,periodic_sparse,0,source_link_interface,dedicated,1,2,8330.0,2,1,True,20000.0,0.20825
fully_isolated_interconnect_control,periodic_sparse,0,switch_arbiter,dedicated,1,1,840.0,2,1,True,20000.0,0.021
fully_isolated_interconnect_control,periodic_sparse,0,switch_path,dedicated,1,2,6650.0,2,1,True,20000.0,0.16625
fully_isolated_interconnect_control,periodic_sparse,0,transmission_segment,dedicated,1,2,5600.0,2,1,True,20000.0,0.14
fully_isolated_interconnect_control,periodic_sparse,1,controller_admission,dedicated,1,2,568.0,2,1,True,20000.0,0.0142
fully_isolated_interconnect_control,periodic_sparse,1,destination_link_interface,dedicated,1,2,852.0,2,1,True,20128.89372749017,0.021163607189112876
fully_isolated_interconnect_control,periodic_sparse,1,source_link_interface,dedicated,1,2,8449.0,2,1,True,20116.89372749017,0.2099976297149261
fully_isolated_interconnect_control,periodic_sparse,1,switch_arbiter,dedicated,1,2,852.0,2,1,True,20021.89372749017,0.021276708676916993
fully_isolated_interconnect_control,periodic_sparse,1,switch_path,dedicated,1,2,6745.0,2,1,True,20116.89372749017,0.1676451665791427
fully_isolated_interconnect_control,periodic_sparse,1,transmission_segment,dedicated,1,2,5680.0,2,1,True,20116.89372749017,0.14117487711927806
fully_isolated_interconnect_control,periodic_sparse,2,controller_admission,dedicated,1,1,560.0,2,1,True,20000.0,0.014
fully_isolated_interconnect_control,periodic_sparse,2,destination_link_interface,dedicated,1,1,840.0,2,1,True,20000.0,0.021
fully_isolated_interconnect_control,periodic_sparse,2,source_link_interface,dedicated,1,2,8330.0,2,1,True,20000.0,0.20825
fully_isolated_interconnect_control,periodic_sparse,2,switch_arbiter,dedicated,1,1,840.0,2,1,True,20000.0,0.021
fully_isolated_interconnect_control,periodic_sparse,2,switch_path,dedicated,1,2,6649.999999999999,2,1,True,20000.0,0.16624999999999998
fully_isolated_interconnect_control,periodic_sparse,2,transmission_segment,dedicated,1,2,5600.0,2,1,True,20000.0,0.14
fully_isolated_interconnect_control,periodic_sparse,3,controller_admission,dedicated,1,1,560.0,2,1,True,20000.0,0.014
fully_isolated_interconnect_control,periodic_sparse,3,destination_link_interface,dedicated,1,1,840.0,2,1,True,20000.0,0.021
fully_isolated_interconnect_control,periodic_sparse,3,source_link_interface,dedicated,1,2,8330.0,2,1,True,20000.0,0.20825
