scenario_name,logical_component,sharing_mode,component_capacity,cross_tenant_capable,physical_lane_trial_count,mean_lane_utilization,max_lane_utilization,mean_busy_time_ns,mean_interval_count
shared_data_path_capacity1,endpoint_port,dedicated,1,False,60,0.30726862420648143,0.38248282776563347,6152.261452625125,40.43333333333333
shared_data_path_capacity1,local_route,dedicated,1,False,60,0.10009559915247142,0.3152833030341434,2003.5046196372193,40.43333333333333
shared_data_path_capacity1,receiver_engine,dedicated,1,False,60,0.060556933133916406,0.072,1213.0,40.43333333333333
shared_data_path_capacity1,reset_engine,dedicated,1,False,60,0.08066609765354046,0.09590888655777012,1617.3333333333333,40.43333333333333
shared_data_path_capacity1,source_link_interface,shared_pool,1,True,30,0.47986440060766283,0.5458715596330275,9623.133333333333,80.86666666666666
shared_data_path_capacity1,switch_arbiter,dedicated,1,False,60,0.024250487810427112,0.0288,485.2,40.43333333333333
shared_data_path_capacity1,switch_path,shared_pool,1,True,30,0.38308502569519304,0.43577981651376146,7682.333333333333,80.86666666666666
shared_data_path_capacity1,transmission_segment,shared_pool,1,True,30,0.32259791637489943,0.3669724770642202,6469.333333333333,80.86666666666666
shared_data_path_capacity2,communication_qubit,dedicated,1,False,60,0.482226598336062,0.5730555971826765,9663.566666666668,40.43333333333333
shared_data_path_capacity2,controller_admission,dedicated,1,False,60,0.016170691138778573,0.0192,323.46666666666664,40.43333333333333
shared_data_path_capacity2,destination_link_interface,shared_pool,2,True,47,0.03090999451535655,0.054,619.4042553191489,51.61702127659574
shared_data_path_capacity2,endpoint_port,dedicated,1,False,60,0.276761569649897,0.3288,5539.366666666667,40.43333333333333
shared_data_path_capacity2,local_route,dedicated,1,False,60,0.09696207560948875,0.2946492046611916,1939.9333333333334,40.43333333333333
shared_data_path_capacity2,receiver_engine,dedicated,1,False,60,0.060586757207349934,0.072,1213.0,40.43333333333333
shared_data_path_capacity2,reset_engine,dedicated,1,False,60,0.08070738047465473,0.09590888655777012,1617.3333333333333,40.43333333333333
shared_data_path_capacity2,source_link_interface,shared_pool,2,True,60,0.24025001150560235,0.41449778253937813,4811.566666666667,40.43333333333333
shared_data_path_capacity2,switch_arbiter,dedicated,1,False,60,0.02425372172520747,0.0288,485.2,40.43333333333333
shared_data_path_capacity2,switch_path,shared_pool,2,True,60,0.1917755887183703,0.34981025345160005,3841.1666666666665,40.43333333333333
shared_data_path_capacity2,transmission_segment,shared_pool,2,True,60,0.16148405267240815,0.3025385975797622,3234.6666666666665,40.43333333333333
shared_data_path_partitioned_two_lanes,communication_qubit,dedicated,1,False,60,0.482226598336062,0.5730555971826765,9663.566666666668,40.43333333333333
shared_data_path_partitioned_two_lanes,controller_admission,dedicated,1,False,60,0.016170691138778573,0.0192,323.46666666666664,40.43333333333333
shared_data_path_partitioned_two_lanes,destination_link_interface,partitioned,2,False,60,0.024240187914002363,0.0288,485.19999999999993,40.43333333333333
